medicine,before-taking,directions,fda-approval,patient-counseling,pregnancy,storage
kyleena,"An IUD can increase your risk of developing a serious pelvic infection, which may threaten your life or your future ability to have children. Ask your doctor about your personal risk.
Do not use during pregnancy. This IUD can cause severe infection, miscarriage, premature birth, or death of the mother if left in place during pregnancy. Tell your doctor right away if you become pregnant. If you continue a pregnancy that occurs while using this IUD, watch for signs such as fever, chills, cramps, vaginal bleeding or discharge.
You should not use this device if you are allergic to levonorgestrel, silicone, silica, silver, barium, iron oxide, or polyethylene, or if you have:


abnormal vaginal bleeding that has not been checked by a doctor;


an untreated or uncontrolled pelvic infection (vaginal, cervical, uterine);


endometriosis or a serious pelvic infection following a pregnancy or abortion in the past 3 months;


pelvic inflammatory disease (PID), unless you had a normal pregnancy after the infection was treated and cleared;


uterine fibroid tumors or conditions that affect the shape of the uterus;


past or present cancer of the breast, cervix, or uterus;


liver disease or liver tumor (benign or malignant);


a condition that weakens your immune system, such as AIDS, leukemia, or IV drug abuse; or


if you have another intrauterine device (IUD) in place.


Tell your doctor if you have ever had:


high blood pressure, heart problems, a heart valve disorder, a heart attack or stroke;


bleeding problems;


migraine headaches; or


a vaginal infection, pelvic infection, or sexually transmitted disease.


You should not use this IUD if you are breastfeeding a baby younger than 6 weeks old. This IUD may be more likely to form a hole or get embedded in the wall of your uterus if you have the device inserted while you are breastfeeding.
",,,,,
kymriah,,,,,,
labetalol,,,,,,
lactulose,,,,,,
lamictal,,,,,,
lamotrigine,,,,,,
lansoprazole,,,,,,
lantus,,,,,,
lasix,,,,,,
latuda,,,,,,
leflunomide,,,,,,
lenvatinib,,,,,,
lenvima,,,,,,
letrozole,,,,,,
leukeran,,,,,,
levaquin,,,,,,
levemir,,,,,,
levocetirizine,,,,,,
levodopa-inhalation,,,,,,
levofloxacin,,,,,,
levothyroxine,,,,,,
levoxyl,,,,,,
lexapro,,,,,,
lexette,,,,,,
liletta,"An IUD can increase your risk of developing a serious pelvic infection, which may threaten your life or your future ability to have children. Ask your doctor about your personal risk.
Do not use during pregnancy. This IUD can cause severe infection, miscarriage, premature birth, or death of the mother if left in place during pregnancy. Tell your doctor right away if you become pregnant. If you continue a pregnancy that occurs while using this IUD, watch for signs such as fever, chills, cramps, vaginal bleeding or discharge.
You should not use this device if you are allergic to levonorgestrel, silicone, silica, silver, barium, iron oxide, or polyethylene, or if you have:


abnormal vaginal bleeding that has not been checked by a doctor;


an untreated or uncontrolled pelvic infection (vaginal, cervical, uterine);


endometriosis or a serious pelvic infection following a pregnancy or abortion in the past 3 months;


pelvic inflammatory disease (PID), unless you had a normal pregnancy after the infection was treated and cleared;


uterine fibroid tumors or conditions that affect the shape of the uterus;


past or present cancer of the breast, cervix, or uterus;


liver disease or liver tumor (benign or malignant);


a condition that weakens your immune system, such as AIDS, leukemia, or IV drug abuse; or


if you have another intrauterine device (IUD) in place.


Tell your doctor if you have ever had:


high blood pressure, heart problems, a heart valve disorder, a heart attack or stroke;


bleeding problems;


migraine headaches; or


a vaginal infection, pelvic infection, or sexually transmitted disease.


You should not use this IUD if you are breastfeeding a baby younger than 6 weeks old. This IUD may be more likely to form a hole or get embedded in the wall of your uterus if you have the device inserted while you are breastfeeding.
",,,,,
linzess,,,,,,
liothyronine,,,,,,
lipitor,,,,,,
liraglutide,,,,,,
lisinopril,,,,,,
lithium,,,,,,
lo-loestrin-fe,,,,,,
lokelma,,,,,,
lomotil,,,,,,
loperamide,,,,,,
loratadine,,,,,,
lorazepam,,,,,,
lorlatinib,,,,,,
losartan,,,,,,
lovastatin,,,,,,
lovaza,,,,,,
lovenox,,,,,,
lunesta,,,,,,
lupron,,,,,,
luxiq,,,,,,
lyrica,,,,,,
lyumjev,,,,,,
macrobid,,,,,,
magnesium-oxide,,,,,,
mavenclad,,,,,,
mavyret,,,,,,
mayzent,,,,,,
meclizine,,,,,,
medrol,,,,,,
medrol-dosepak,,,,,,
melatonin,,,,,"Most dietary supplements like melatonin have not been studied in pregnant women, during breastfeeding, or in children. Seek advice from your healthcare provider before using any dietary supplement if you are pregnant, nursing, or considering the use of this product in a child under 18 years of age.
",
meloxicam,,,,,,
memantine,,,,,,
meropenem,,,,,,
mesalamine,,,,,,
metamucil,,,,,,
metformin,,,,,,
methadone,,,,,,
methimazole,,,,,,
methocarbamol,,,,,,
methotrexate,,,,,,
methylphenidate,,,,,,
methylprednisolone,,,,,,
metoclopramide,,,,,,
metolazone,,,,,,
metoprolol,,,,,,
metronidazole,,,,,,
midazolam,,,,,,
midodrine,,,,,,
minocycline,,,,,,
minoxidil,,,,,,
miralax,,,,,,
mirtazapine,,,,,,
misoprostol,,,,,,
mobic,,,,,,
modafinil,,,,,,
montelukast,,,,,,
morphine,,,,,,
mucinex,,,,,,
mupirocin-topical,,,,,,
mycapssa,,,,,,
mylotarg,,,,,,
myrbetriq,,,,,,
nabumetone,,,,,,
nadolol,,,,,,
naloxone,,,,,,
naltrexone,,,,,,
namenda,,,,,,
namzaric,,,,,,
naprosyn,,,,,,
naproxen,,,,,,
nasonex,,,,,,
nateglinide,,,,,,
nayzilam,,,,,,
nebivolol,,,,,,
neomycin,,,,,,
nerlynx,,,,,,
neulasta,,,,,,
neupro,,,,,,
neurontin,,,,,,
nexium,,,,,,
nexletol,"Before you start taking Nexletol, tell your healthcare provider about all your medical conditions, including if you:

have or had gout.
have or had tendon problems.
are pregnant. Tell your healthcare provider right away if you become pregnant while taking Nexletol. You and your healthcare provider will decide if you should take Nexletol while you are pregnant.
are breastfeeding or plan to breastfeed. It is not known if Nexletol passes into your breast milk. You and your healthcare provider should decide if you will take Nexletol or breastfeed. You should not do both.
have severe kidney problems.
have severe liver problems.

Nexletol may affect the way other medicines work, and other medicines may affect how Nexletol works. Tell your healthcare provider about all the medicines you take, including prescription and over-the-counter medicines, vitamins, and herbal supplements.

Especially tell your healthcare provider if you take or plan to take simvastatin or pravastatin (other cholesterol lowering medicines). Taking simvastatin or pravastatin with Nexletol may increase your risk of developing muscle pain or weakness (myopathy).

Know the medicines you take. Keep a list of them to show your healthcare provider and pharmacist when you get a new medicine.
",,,,,
nexlizet,"Before you start taking Nexlizet, tell your healthcare provider about all your medical conditions, including if you:

have or had gout.
have or had tendon problems.
are pregnant or think you may be pregnant. Tell your healthcare provider right away if you become pregnant while taking Nexlizet. You and your healthcare provider will decide if you should take Nexlizet while you are pregnant.
are breastfeeding or plan to breastfeed. It is not known if Nexlizet passes into your breast milk. You and your healthcare provider should decide if you will take Nexlizet or breastfeed. You should not do both.
have severe kidney problems.
have moderate or severe liver problems.

Nexlizet may affect the way other medicines work, and other medicines may affect how Nexlizet works. Tell your healthcare provider about all the medicines you take, including prescription and over-the-counter medicines, vitamins, and herbal supplements.

Especially tell your healthcare provider if you take or plan to take:

simvastatin or pravastatin (other cholesterol lowering medicines). Taking simvastatin or pravastatin with Nexlizet may increase your risk of developing muscle pain or weakness (myopathy).
cyclosporine (often used in organ transplant patients)
fibrates (used to lower cholesterol)
cholestyramine (used to lower cholesterol)

Know the medicines you take. Keep a list of them to show your healthcare provider and pharmacist when you get a new medicine.
",,,,,
nexplanon,"Using a Nexplanon implant can increase your risk of blood clots, stroke, or heart attack. You are even more at risk if you have high blood pressure, diabetes, high cholesterol, or if you are overweight. Your risk of stroke or blood clot is highest during your first year of using this medicine.
Smoking can greatly increase your risk of blood clots, stroke, or heart attack. Your risk increases the older you are and the more you smoke.
Do not use if you are pregnant. If you become pregnant, the Nexplanon implant should be removed if you plan to continue the pregnancy.
You may need to have a negative pregnancy test before receiving the implant.
You should not use hormonal birth control if you have:


a history of heart attack, stroke, or blood clot;


a history of hormone-related cancer, or cancer of the breast, uterus/cervix, or vagina;


unusual vaginal bleeding that has not been checked by a doctor; or


liver disease or liver cancer.


To make sure Nexplanon is safe for you, tell your doctor if you have ever had:


diabetes;


high cholesterol or triglycerides;


high blood pressure;


headaches;


gallbladder disease;


kidney disease;


depression; or


an allergy to numbing medicines.


Nexplanon may not be as effective in women who are overweight.
The Nexplanon implant should not be used in girls younger than 18 years old.
Etonogestrel can pass into breast milk, but effects on the nursing baby are not known. Tell your doctor if you are breast-feeding.
",,,,,
niacin,,,,,,
niaspan,,,,,,
nifedipine,"You should not use this medicine if you are allergic to nifedipine, if you have severe coronary artery disease, or if you have had a heart attack within the past 2 weeks.
To make sure nifedipine is safe for you, tell your doctor if you have:


severe COPD (chronic obstructive pulmonary disease);


kidney disease;


congestive heart failure; or


if you take other medications, especially an antibiotic or antifungal medicine, an antidepressant, heart or blood pressure medicine, or drugs to treat HIV/AIDS or hepatitis C.


It is not known whether nifedipine will harm an unborn baby. Tell your doctor if you are pregnant or plan to become pregnant while using this medication.
Nifedipine can pass into breast milk and may harm a nursing baby. Tell your doctor if you are breast-feeding a baby.
The nifedipine extended-release tablet may contain lactose. Talk to your doctor before using this form of nifedipine if you have galactose intolerance, or severe problems with lactose (milk sugar).
",,,,,
nitazoxanide,,,,,,
nitrofurantoin,,,,,,
nitrostat,,,,,,
nivolumab,,,,,,
norco,,,,,,
norepinephrine,,,,,,
norethindrone,,,,,,
norflex,,,,,,
nortriptyline,,,,,,
norvasc,,,,,,
novolog,,,,,,
np-thyroid,,,,,,
nplate,,,,,,
nubeqa,,,,,,
nucynta,,,,,,
nuedexta,,,,,,
nurtec-odt,"Before you take Nurtec ODT, tell your healthcare provider about all of your medical conditions, including if you:

have liver problems.
have kidney problems.
are pregnant or plan to become pregnant. It is not known if this medicine will harm your unborn baby.
are breastfeeding or plan to breastfeed. It is not known if this medicine passes into your breast milk.

Tell your healthcare provider about all the medicines you take, including prescription and over-the-counter medicines, vitamins, and herbal supplements.
",,,,,
nystatin,,,,,,
ocrevus,,,,,,
odefsey,,,,,,
ofev,,,,,,
ofloxacin,,,,,,
olanzapine,,,,,,
olaparib,,,,,,
olmesartan,,,,,,
olopatadine-nasal,,,,,,
olopatadine-ophthalmic,,,,,,
olux,,,,,,
omalizumab,,,,,,
omega-3-polyunsaturated-fatty-acids,,,,,,
omeprazole,,,,,,
omnicef,,,,,,
ondansetron,,,,,,
onfi,,,,,,
ongentys,,,,,,
onglyza,,,,,,
onpattro,,,,,,
onureg,,,,,,
opana,,,,,,
opdivo,,,,,,
orencia,,,,,,
orgovyx,,,,,,
oriahnn,,,,,,
orlistat,,,,,,
orphenadrine,,,,,,
ortho-tri-cyclen,,,,,,
oseltamivir,,,,,,
otezla,,,,,,
oxaliplatin,,,,,,
oxandrolone,,,,,,
oxazepam,,,,,,
oxcarbazepine,,,,,,
oxybutynin,,,,,,
oxycodone,,,,,,
oxycontin,,,,,,
oxymetazoline-nasal,,,,,,
oxymorphone,,,,,,
oxytocin,,,,,,
ozanimod,,,,,,
ozempic,,,,,,
pantoprazole,,,,,,
paracetamol,,,,,,
paragard,,,,,,
paroxetine,,,,,,
paxil,,,,,,
penicillin,,,,,,
pepcid,,,,,,
percocet,,,,,,
phenazopyridine,,,,,,
phenergan,,,,,,
phenobarbital,,,,,,
phentermine,,,,,,
phenytoin,,,,,,
phexxi,"Before using Phexxi, tell your healthcare provider about all of your medical conditions, including if you:

are pregnant or think you are pregnant. Phexxi is not for use in pregnant women.
are breastfeeding or plan to breastfeed. It is not known if Phexxi passes into your breast milk.

Tell your healthcare provider about all the medicines you take, including prescription and over-the-counter medicines, vitamins, and herbal supplements.

Know the medicines you take. Keep a list of them to show your healthcare provider and pharmacist when you get a new medicine.
",,,,,
pioglitazone,,,,,,
plaquenil,,,,,,
plavix,,,,,,
polyethylene-glycol-3350,,,,,,
potassium_chloride,,,,,,
pradaxa,,,,,,
praluent,,,,,,
pramipexole,,,,,,
pravastatin,,,,,,
prazosin,,,,,,
prednisolone,,,,,,
prednisone,,,,,,
pregabalin,,,,,,
premarin,"You should not use Premarin if you are allergic to estrogens, or if you have:


unusual vaginal bleeding that has not been checked by a doctor;


liver disease;


a history of heart attack, stroke, or blood clot;


an increased risk of having blood clots due to a heart problem or a hereditary blood disorder; or


a history of hormone-related cancer, or cancer of the breast, uterus/cervix, or vagina.


Do not use Premarin if you are pregnant. Tell your doctor right away if you become pregnant during treatment.
Using this medicine can increase your risk of blood clots, stroke, or heart attack. You are even more at risk if you have high blood pressure, diabetes, high cholesterol, if you are overweight, or if you smoke.
Estrogen should not be used to prevent heart disease, stroke, or dementia. This medicine may actually increase your risk of developing these conditions.
To make sure this medicine is safe for you, tell your doctor if you have ever had:


a hysterectomy;


heart disease;


liver problems, or jaundice caused by pregnancy or taking hormones;


kidney disease;


gallbladder disease;


asthma;


epilepsy or other seizure disorder;


migraines;


lupus;


endometriosis or uterine fibroid tumors;


hereditary angioedema;


porphyria (a genetic enzyme disorder that causes symptoms affecting the skin or nervous system);


a thyroid disorder; or


high levels of calcium in your blood.


Use of Premarin may increase your risk of cancer of the breast, uterus, or ovaries. Talk with your doctor about this risk.
It may not be safe to breastfeed while using Premarin. Estrogen can slow breast milk production. Tell your doctor if your are breastfeeding.
",,,,,
prevacid,,,,,,
prilosec,,,,,,
primidone,,,,,,
pristiq,,,,,,
proair-hfa,,,,,,
probuphine,,,,,,
progesterone,,,,,,
prolia,,,,,,
promethazine,,,,,,
propofol,,,,,,
propranolol,,,,,,
protonix,,,,,,
provenge,,,,,,
prozac,,,,,,
pseudoephedrine,,,,,,
pyridium,,,,,,
qbrelis,,,,,,
qelbree,"Before starting treatment, tell your healthcare provider about all your child’s medical conditions, including if your child:

has, or has a family history of, suicide, bipolar disorder, depression, mania or hypomania
has blood pressure or heart rate problems
has severe kidney problems. Your healthcare provider may lower the dose.
has liver problems
is pregnant or plans to become pregnant. Qelbree may cause harm to the mother when taken during pregnancy. You and your healthcare provider will decide if Qelbree should be taken during pregnancy.

Tell your healthcare provider right away if your child becomes pregnant or thinks they are pregnant during treatment with Qelbree.
There is a pregnancy registry for females who are exposed to Qelbree during pregnancy. The purpose of the registry is to collect information about the health of females exposed to Qelbree and their baby. If you become pregnant while taking Qelbree, talk to your healthcare provider about registering with the National Pregnancy Registry for Psychiatric Medications by calling 1-866-961-2388 or go to www.womensmentalhealth.org/preg.


is breastfeeding or plans to breastfeed. It is not known if Qelbree passes into breastmilk. Talk to your healthcare provider about the best way to feed the baby during treatment.
Tell your healthcare provider about all the medicines your child takes, including prescription and over-thecounter medicines, vitamins, and herbal supplements.

Qelbree and other medicines may affect each other causing possible serious side effects.
Your healthcare provider will decide if Qelbree can be taken with other medicines.
Especially tell your healthcare provider if your child takes:

MAOIs
alosetron
duloxetine
ramelteon
tasimelteon
tizanidine
theophylline

Know the medicines your child takes. Keep a list of them and show it to your healthcare provider and pharmacist when your child gets a new medicine.
Do not start any new medicine during treatment with Qelbree without first talking to your healthcare provider.
",,,,,
qinlock,,,,,,
qnasl,,,,,,
qsymia,,,,,,
qualaquin,,,,,,
quazepam,,,,,,
questran,,,,,,
quetiapine,,,,,,
quillichew-er,,,,,,
quillivant-xr,,,,,,
quinapril,,,,,,
quinidine,,,,,,
quinine,,,,,,
qutenza,,,,,,
qvar-redihaler,,,,,,
qwo,,,,,,
rabeprazole,,,,,,
raloxifene,,,,,,
ramelteon,,,,,,
ramipril,"You should not use ramipril if you are allergic to it, or if:


you have a history of angioedema;


you recently took a heart medicine called sacubatril; or


if you are allergic to any other ACE inhibitor, such as benazepril, captopril, enalapril, fosinopril, lisinopril, moexipril, perindopril, quinapril, or trandolapril.


Do not take ramipril within 36 hours before or after taking medicine that contains sacubatril (such as Entresto).
If you have diabetes, do not use ramipril together with any medication that contains aliskiren (such as Tekturna or Tekamlo).
You may also need to avoid taking ramipril with aliskiren if you have kidney disease.
To make sure this medicine is safe for you, tell your doctor if you have ever had:


kidney disease (or if you are on dialysis);


liver disease;


a connective tissue disease such as Marfan syndrome, Sjogren's syndrome, lupus, scleroderma, or rheumatoid arthritis; or


if you are also taking telmisartan (Micardis).


Do not use if you are pregnant. If you become pregnant, stop taking this medicine and tell your doctor right away. Ramipril can cause injury or death to the unborn baby if you take the medicine during your second or third trimester. Use effective birth control.
It is not known whether ramipril passes into breast milk or if it could harm a nursing baby. You should not breast-feed while using this medicine.
",,,,,
ranexa,,,,,,
ranitidine,,,,,,
ranolazine,,,,,,
rapamune,,,,,,
reclast,,,,,,
reglan,,,,,,
relafen,,,,,,
relugolix,,,,,,
remdesivir,,,,,,
remeron,,,,,,
remicade,,,,,,
renvela,,,,,,
repaglinide,,,,,,
repatha,,,,,,
requip,,,,,,
restasis,,,,,,
restoril,,,,,,
retevmo,"Before taking Retevmo, tell your healthcare provider about all your medical conditions, including if you:

have liver problems
have high blood pressure
have heart problems including a condition called QT prolongation
have bleeding problems
plan to have surgery. You should stop taking Retevmo at least 7 days before your planned surgery. See Retevmo side effects.
are pregnant or plan to become pregnant. Retevmo can harm your unborn baby. You should not become pregnant during treatment.

If you are able to become pregnant, your healthcare provider will do a pregnancy test before you start treatment.
Females who are able to become pregnant should use effective birth control (contraception) during treatment and for at least 1 week after the final dose. Talk to your healthcare provider about birth control methods that may be right for you.
Tell your healthcare provider right away if you become pregnant or think you might be pregnant during treatment.
Males with female partners who are able to become pregnant should use effective birth control during treatment, and for at least 1 week after the final dose.


are breastfeeding or plan to breastfeed. It is not known if Retevmo passes into your breast milk. Do not breastfeed during treatment, and for 1 week after the last dose.

Tell your healthcare provider about all the medicines you take, including prescription and over-the-counter medicines, vitamins, and herbal supplements.
Certain other medicines may affect how Retevmo works.
You should avoid taking St. John’s wort, proton pump inhibitors (PPIs such as dexlansoprazole, esomeprazole, lansoprazole, omeprazole, pantoprazole sodium, rabeprazole), H2 blockers (such as famotidine, nizatidine, and cimetidine), and antacids that contain aluminum, magnesium, calcium, simethicone, or buffered medicines during treatment with Retevmo. If you cannot avoid taking PPIs, H2 blockers, or antacids, see “How should I take Retevmo?” for more information on how to take Retevmo with these medicines.
Know the medicines you take. Keep a list of them to show your healthcare provider and pharmacist when you get a new medicine.
",,,,,
revlimid,,,,,,
rexulti,,,,,,
reyvow,,,,,,
rifampin,,,,,,
rifaximin,,,,,,
rinvoq,,,,,,
risdiplam,,,,,,
risedronate,,,,,,
risperdal,,,,,,
risperidone,,,,,,
ritalin,,,,,,
rituxan,,,,,,
rituximab,,,,,,
rivaroxaban,,,,,,
rivastigmine,,,,,,
rizatriptan,,,,,,
robaxin,,,,,,
robitussin,,,,,,
rocephin,,,,,,
ropinirole,,,,,,
rosuvastatin,,,,,,
roxicodone,,,,,,
ruconest,,,,,,
rybelsus,,"Take Rybelsus tablets exactly as prescribed by your doctor. Follow all directions on your prescription label and read all medication guides or instruction sheets. Your doctor may occasionally change your dose.
Rybelsus tablets are taken by mouth when you first wake up, at least 30 minutes before you eat or drink anything. Take this medicine with no more than 4 ounces of water. Swallow the tablet whole and do not crush, chew, or break it.
Eat within 30 to 60 minutes after taking Rybelsus.
Read and follow all Instructions for Use. Ask your doctor or pharmacist if you need help.
Blood sugar can be affected by stress, illness, surgery, exercise, alcohol use, or skipping meals.
Low blood sugar (hypoglycemia) can make you feel very hungry, dizzy, irritable, or shaky. To quickly treat hypoglycemia, eat or drink hard candy, crackers, raisins, fruit juice, or non-diet soda. Your doctor may prescribe glucagon injection in case of severe hypoglycemia.
Tell your doctor if you have frequent symptoms of high blood sugar (hyperglycemia) such as increased thirst or urination. Ask your doctor before changing your medication dosage.
Call your doctor if you have ongoing vomiting or diarrhea, or if you are sweating more than usual. You can easily become dehydrated while taking Rybelsus. This can lead to kidney failure.
Your treatment may also include diet, exercise, weight control, and special medical care.
Store Rybelsus tablets in their original package at room temperature, away from moisture and heat.
",,,,
rydapt,,,,,,
rytary,,,,,,
sabril,,,,,,
sandostatin,,,,,,
saxenda,,,,,,
semaglutide,,,,,,
senna,,,,,,
senokot,,,,,,
sernivo,,,,,,
seroquel,,,,,,
sertraline,,,,,,
sevelamer,,,,,,
shingrix,,,,,,
sildenafil,,,,,,
simethicone,,,,,,
simvastatin,,,,,,
sinemet,,,,,,
singulair,,,,,,
sitagliptin,,,,,,
skelaxin,,,,,,
skyrizi,,,,,,
sodium-bicarbonate,,,,,,
sofosbuvir,,,,,,
solifenacin,,,,,,
soliqua,,,,,,
soma,,,,,,
somatuline-depot,,,,,,
somavert,,,,,,
sotalol,,,,,,
sovaldi,,,,,,
spinraza-injection,,,,,,
spiriva,,,,,,
spironolactone,,,,,,
sprintec,,,,,,
sprycel,,,,,,
stelara,,,,,,
stiolto-respimat,,,,,,
strattera,,,,,,
stribild,,,,,,
sublocade,,,,,,
suboxone,,,,,,
subutex,,,,,,
sucralfate,,,,,,
sudafed,,,,,,
sulfamethoxazole-and-trimethoprim,,,,,,
sulfasalazine,,,,,,
sulindac,,,,,,
sutent,,,,,,
symbicort,,,,,,
sympazan,,,,,,
synthroid,,,,,,
tadalafil,,,,,,
takhzyro,,,,,,
taltz,,,,,,
tamoxifen,,,,,,
tamsulosin,,,,,,
tazarotene-topical,,,,,,
tazorac,,,,,,
tecartus,,,,,,
tecentriq,,,,,,
tegretol,,,,,,
telmisartan,,,,,,
temazepam,,,,,,
temovate,,,,,,
tenormin,,,,,,
tepezza,,,,,,
terazosin,,,,,,
terbinafine,,,,,,
tessalon-perles,,,,,,
testosterone,,,,,,
tetracycline,,,,,,
theophylline,,,,,,
thiamine,,,,,,
tibsovo,,,,,,
timolol,,,,,,
tizanidine,,,,,,
tolterodine,,,,,,
topamax,,,,,,
topiramate,,,,,,
toprol,,"Take Toprol-XL exactly as prescribed by your doctor. Follow all directions on your prescription label and read all medication guides or instruction sheets. Your doctor may occasionally change your dose.
Toprol-XL should be taken with a meal or just after a meal.
Take the medicine at the same time each day.
Swallow the extended release tablet whole and do not crush or chew the tablet.
A Toprol XL tablet can be divided in half if your doctor has told you to do so. Swallow the half-tablet whole, without chewing or crushing.
You will need frequent medical tests, and your blood pressure will need to be checked often.
If you need surgery, tell the surgeon ahead of time that you are using metoprolol.
You should not stop using Toprol-XL suddenly. Stopping suddenly may make your condition worse.
If you have high blood pressure, keep using Toprol-XL even if you feel well. High blood pressure often has no symptoms. You may need to use metoprolol for the rest of your life.
Store at room temperature away from moisture and heat.
",,,,
toradol,,,,,,
torsemide,,,,,,
toujeo,,,,,,
tradjenta,,,,,,
tramadol,,,,,,
tranexamic-acid,,,,,,
trazodone,,,,,,
treanda,,,,,,
trelegy-ellipta,,,,,,
tremfya,,,,,,
tresiba,,,,,,
triamcinolone,,,,,,
triamterene,,,,,,
trileptal,,,,,,
trimethoprim,,,,,,
trintellix,,,,,,
triumeq,,,,,,
trokendi-xr,,,,,,
truxima,,,,,,
turmeric,,"When considering the use of herbal supplements, seek the advice of your doctor. You may also consider consulting a practitioner who is trained in the use of herbal/health supplements.
If you choose to use turmeric, use it as directed on the package or as directed by your doctor, pharmacist, or other healthcare provider. Do not use more of this product than is recommended on the label.
Turmeric is thought to be possibly safe when used short time as a mouth rinse or as an enema.
Do not use different forms of turmeric (pills, liquids, and others) at the same time or you could have an overdose.
If you need surgery, dental work, or a medical procedure, stop taking turmeric at least 2 weeks ahead of time.
Call your doctor if the condition you are treating with turmeric does not improve, or if it gets worse while using this product.
Store as directed, or at room temperature away from moisture and heat.
",,,,
twirla,,,,,,
tylenol,,,,,,
tylenol-with-codeine-3,,,,,,
tysabri,,,,,,
ubrelvy,,,,,,
ubrogepant,,,,,,
uceris,,,,,,
udenyca,,,,,,
ulipristal,,,,,,
uloric,,,,,,
ultomiris,,,,,,
ultracet,,,,,,
ultram,,,,,,
ultram-er,,,,,,
ultravate,,,,,,
umeclidinium,,,,,,
umeclidinium-and-vilanterol,,,,,,
unasyn,,,,,,
undecylenic-acid-topical,,"Use exactly as directed on the label, or as prescribed by your doctor.
Do not take by mouth. Topical medicine is for use only on the skin.
Use only the undecylenic acid topical formulation made for the specific body area you are treating (such as your feet, groin, or nails). This medicine will not be effective if you do not use the correct formulation.
Do not allow a young child to use undecylenic acid topical without help from an adult.
Wash your hands before and after using this medicine.
If you are using undecylenic acid topical on your feet, apply the medicine to all areas including between your toes.
Do not cover treated skin with a bandage. You may cover the skin with a cotton gauze dressing to protect your clothing.
Avoid wearing tight-fitting, synthetic clothing (such as nylon) that doesn't allow air circulation. Wear loose clothing made of cotton and other natural fibers until the infection is healed.
Change your shoes and socks at least once daily while treating athlete's foot.
Call your doctor if your symptoms do not improve after 4 weeks of treatment.
Use this medicine for the full prescribed length of time, even if your symptoms quickly improve.
Store at room temperature away from moisture and heat. Do not freeze.
",,,,
unisom,,,,,,
unisom-sleep-gels,,,,,,
univasc,,,,,,
upadacitinib,,,,,,
upneeq,,,,,,
uptravi,,,,,,
urea-topical,,,,,,
urecholine,,,,,,
urelle,,,,,,
uribel,,,,,,
urispas,,,,,,
urocit-k,,,,,,
urofollitropin,,,,,,
urogesic-blue,,,,,,
urokinase,,,,,,
uroxatral,,,,,,
urso,,,,,,
urso-forte,,,,,,
ursodiol,,,,,,
ustekinumab,,,,,,
utibron-neohaler,,,,,,
valacyclovir,,,,,,
valium,,,,,,
valproic-acid,,,,,,
valsartan,,,,,,
valtoco,,,,,,
valtrex,,,,,,
vancomycin,,,,,,
vanos,,,,,,
varenicline,,,,,,
vascepa,,,,,,
vasotec,,,,,,
venclexta,,,,,,
venetoclax,,,,,,
venlafaxine,,,,,,
venofer,,,,,,
ventolin,,,,,,
verapamil,,,,,,
versed,,,,,,
verzenio,,,,,,
vesicare,,,,,,
viagra,,,,,,
vicodin,,,,,,
victoza,,,,,,
viibryd,,,,,,
vilazodone,,,,,,
vimpat,,,,,,
vincristine,,,,,,
vistaril,,,,,,
vitamin-a,"Ask a doctor or pharmacist if  vitamin A is safe to use if you have ever had:


a zinc or iron deficiency;


celiac disease;


kidney disease;


liver problems such as cirrhosis or jaundice (yellow of the skin or eyes);


anemia (low red blood cells);


short gut syndrome;


an infection in your intestines;


cystic fibrosis;


a pancreas disorder;


if you are malnourished; or


if your body does not absorb fats properly.


Do not use vitamin A without medical advice if you are pregnant. Although some vitamin A is needed for the normal development of a baby, vitamin A can cause birth defects if used in large doses. You may need to use a prenatal vitamin specially formulated for pregnant women.
Ask a doctor before using this medicine if you are breastfeeding. Your dose needs may be different while you are nursing.
",,,,,
vitamin-b6,,,,,,
vitamin-c,,,,,,
vitamin-d3,,,,,,
vitamin_e,,,,,,
vivitrol,,,,,,
voltaren,,,,,,
voltaren-gel,,,,,,
vortioxetine,,,,,,
vosevi,,,,,,
votrient,,,,,,
vraylar,,,,,,
vyndamax,,,,,,
vytorin,,,,,,
vyvanse,,,,,,
wakix,,,,,,
warfarin,,,,,,
wart-remover,,,,,,
wegovy,"Before you start treatment, tell your healthcare provider if you have any other medical conditions, including if you:

have or have had problems with your pancreas or kidneys.
have type 2 diabetes and a history of diabetic retinopathy.
have or have had depression or suicidal thoughts, or mental health issues.
are pregnant or plan to become pregnant. Wegovy may harm your unborn baby. You should stop using Wegovy 2 months before you plan to become pregnant.

Pregnancy Exposure Registry: There is a pregnancy exposure registry for women who use Wegovy during pregnancy. The purpose of this registry is to collect information about the health of you and your baby.
Talk to your healthcare provider about how you can take part in this registry or you may contact Novo Nordisk at 1-800-727-6500.


are breastfeeding or plan to breastfeed. It is not known if Wegovy passes into your breast milk. You should talk with your healthcare provider about the best way to feed your baby while using Wegovy.

Tell your healthcare provider about all the medicines you take, including prescription and over-the counter medicines, vitamins, and herbal supplements. Wegovy may affect the way some medicines work and some medicines may affect the way Wegovy works. Tell your healthcare provider if you are taking other medicines to treat diabetes, including sulfonylureas or insulin. Wegovy slows stomach emptying and can affect medicines that need to pass through the stomach quickly.
Know the medicines you take. Keep a list of them to show your healthcare provider and pharmacist when you get a new medicine.
",,,,,
welchol,,,,,,
wellbutrin,,,,,,
wellbutrin-sr,,,,,,
wellbutrin-xl,,,,,,
westhroid,,,,,,
wilate,,,,,,
