,Uses,Warnings,Dosage,What to avoid,Side effects,Interactions
elidel,Elidel Cream may also be used for purposes not listed in this medication guide.,Talk with your doctor if your symptoms do not improve after 6 weeks of treatment.,Store at room temperature. Do not freeze. Keep the medicine tube tightly capped when not in use.,Drinking alcohol while you are using Elidel may cause your skin or face to feel hot and become flushed or red.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with Elidel, including prescription, over-the-counter, vitamin, and herbal products. Not all possible interactions are listed in this medication guide."
eligard,Eligard treats only the symptoms of prostate cancer and does not treat the cancer itself.,Eligard is for use in males. Other brands of leuprolide are used by women. Do not use Eligard if you are pregnant.,"1 mg injection subcutaneously once a day
OR
7.5 mg depot IM or depot subcutaneously once a month
OR
22.5 mg depot IM once every 3 months
OR
30 mg depot IM once every 4 months
OR
45 mg subcutaneous injection every 6 months

Use: Palliative treatment of advanced prostate cancer","Follow your doctor's instructions about any restrictions on food, beverages, or activity.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Other drugs may interact with leuprolide, including prescription and over-the-counter medicines, vitamins, and herbal products. Tell your doctor about all your current medicines and any medicine you start or stop using."
eliquis,"Eliquis is used to treat blood clots in the veins of your legs (deep vein thrombosis) or lungs (pulmonary embolism), and lower the risk of them occurring again.",Do not stop taking Eliquis unless your doctor tells you to. Stopping suddenly can increase your risk of blood clot or stroke.,Store at room temperature away from moisture and heat.,"Avoid medications that can increase your risk of bleeding, such as aspirin or NSAIDs (nonsteroidal anti-inflammatory drugs)- ibuprofen (Advil, Motrin), naproxen (Aleve), diclofenac, indomethacin, meloxicam, and others.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete and many other drugs may interact with apixaban. This includes prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here."
emgality,It is not known if Emgality is safe and effective in children.,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use.","Dose: 300 mg (three consecutive subcutaneous injections of 100 mg each) at the onset of the cluster period, and then monthly until the end of the cluster period.","Follow your doctor's instructions about any restrictions on food, beverages, or activity.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Other drugs may interact with galcanezumab, including prescription and over-the-counter medicines, vitamins, and herbal products. Tell your doctor about all your current medicines and any medicine you start or stop using."
enalapril,Enalapril is also used to treat congestive heart failure (CHF). CHF is a disorder of the ventricles (the lower chambers of the heart) which decreases the heart’s ability to pump blood to the body.,"Enalapril can affect your heart or your electrolyte levels. Call your doctor if you have chest pain, pounding heartbeats or fluttering in your chest, a slow heart rate or weak pulse, a tingly feeling, muscle weakness, or muscle tightness or contraction.","Store the liquid medicine in the refrigerator, do not freeze. Throw away any liquid medicine not used within 60 days.","Avoid getting up too fast from a sitting or lying position, or you may feel dizzy. Get up slowly and steady yourself to prevent a fall.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with enalapril, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed in this medication guide."
enbrel,Enbrel is sometimes used with another medicine called methotrexate when treating rheumatoid arthritis and psoriatic arthritis.,"Enbrel can weaken your immune system. Serious and sometimes fatal infections may occur. Call your doctor right away if you have signs of infection such as: fever, chills, cough, sweating, body aches, skin sores or redness, diarrhea, burning when you urinate, or feeling very tired or short of breath.","Use a needle and syringe only once and then place them in a puncture-proof ""sharps"" container. Follow state or local laws about how to dispose of this container. Keep it out of the reach of children and pets.","Do not receive a ""live"" vaccine while using Enbrel. The vaccine may not work as well during this time, and may not fully protect you from disease. Live vaccines include measles, mumps, rubella (MMR), polio, rotavirus, one form of typhoid, yellow fever, varicella (chickenpox), the older form of the shingles vaccine, and nasal flu (influenza) vaccine.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with etanercept, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed in this medication guide."
entresto,Entresto is usually given together with other heart medications.,"If you have diabetes, do not use Entresto together with any medication that contains aliskiren (Tekturna, Tekamlo).","Initial dose: Sacubitril 49 mg-Valsartan 51 mg orally twice a day

Maintenance dose: Sacubitril 97 mg-Valsartan 103 mg orally twice a day

Comments:
-Increase to the target maintenance dose (sacubitril 97 mg-valsartan 103 mg twice daily) after 2 to 4 weeks, as tolerated.
-A starting dose of sacubitril 24 mg-valsartan 26 mg twice a day is recommended for patients not currently taking an angiotensin-converting enzyme (ACE) inhibitor or an angiotensin receptor blocker (ARB) and for patients previously taking low doses of these agents. Double the dose every 2 to 4 weeks to the target maintenance dose (sacubitril 97 mg-valsartan 103 mg twice daily), as tolerated.

Use: To reduce the risk of cardiovascular death and hospitalization for heart failure in patients with chronic New York Heart Association (NYHA) Class II to IV heart failure and reduced ejection fraction; usually administered in conjunction with other heart failure therapies or in place of an ACE inhibitor or other ARB.",Drinking alcohol can further lower your blood pressure and may increase certain side effects of Entresto.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with sacubitril and valsartan, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed in this medication guide."
entyvio,Entyvio is usually given after other treatments have failed.,"Do not receive a ""live"" vaccine while using Entyvio.","300 mg IV over 30 minutes at Week 0, 2, and 6 and then every 8 weeks thereafter

Comments:
-Prior to initiating therapy, patients should be brought up to date with all immunizations according to current immunization guidelines.
-Discontinue if no evidence of therapeutic benefit by Week 14.

Uses:
-Adult Ulcerative Colitis (UC): Adults with moderately to severely active UC who have had an inadequate response with, lost response to, or were intolerant to a tumor necrosis factor (TNF) blocker or immunomodulator; or had an inadequate response with, were intolerant to, or demonstrated dependence on corticosteroids. This drug is used for inducing and maintaining clinical response or remission, improving endoscopic appearance of the mucosa, or achieving corticosteroid-free remission.
-Adult Crohn's Disease (CD): Adults with moderately to severely active CD who have had an inadequate response with, lost response to, or were intolerant to a TNF blocker or immunomodulator; or had an inadequate response with, were intolerant to, or demonstrated dependence on corticosteroids. This drug is used for achieving clinical response or remission or achieving corticosteroid-free remission.",Avoid being near people who are sick or have infections. Tell your doctor at once if you develop signs of infection.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact wth vedolizumab, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here."
epclusa,Epclusa is sometimes used in people who also have HIV. This medicine is not a treatment for HIV or AIDS.,"Epclusa is sometimes used in combination with ribavirin. Ribavirin can cause birth defects or death in an unborn baby. Do not use ribavirin if you are pregnant, or if you are a man and your sexual partner is pregnant. Use effective birth control to prevent pregnancy while using these medicines together and for at least 6 months after treatment ends.","6 years or older:
-Weight 17 to less than 30 kg: Sofosbuvir 200 mg-velpatasvir 50 mg orally once a day
-Weight at least 30 kg: Sofosbuvir 400 mg-velpatasvir 100 mg orally once a day

Recommended Regimen and Duration of Therapy:
-Therapy-naive and therapy-experienced, without cirrhosis and with compensated cirrhosis (Child-Pugh A): Sofosbuvir-velpatasvir for 12 weeks
-Therapy-naive and therapy-experienced, with decompensated cirrhosis (Child-Pugh B or C): Sofosbuvir-velpatasvir plus ribavirin for 12 weeks

Comments:
-Dose recommendations also apply to HCV/HIV-1-coinfected patients.
-In clinical trials, therapy-experienced adults received a peginterferon alfa/ribavirin-based regimen with or without an HCV NS3/4A protease inhibitor (boceprevir, simeprevir, or telaprevir).
-If applicable, the manufacturer product information should be consulted for ribavirin dose recommendations; the manufacturer product information for ribavirin should be consulted for further information regarding dosing and dose adjustments.

Uses: For the treatment of chronic HCV genotype 1, 2, 3, 4, 5, or 6 infection
-In patients without cirrhosis or with compensated cirrhosis
-In combination with ribavirin: In patients with decompensated cirrhosis","Using Epclusa will not prevent your disease from spreading. Do not have unprotected sex or share razors or toothbrushes. Talk with your doctor about safe ways to prevent HCV transmission during sex. Sharing drug or medicine needles is never safe, even for a healthy person.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Many drugs can interact with sofosbuvir and velpatasvir. This includes prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed here. Tell your doctor about all your current medicines and any medicine you start or stop using."
epidiolex,"In April 2020, the U.S. Drug Enforcement Administration (DEA) announced the removal of cannabidiol from Schedule V of the Controlled Substances Act. Epidiolex is no longer considered a controlled substance.",Some people have thoughts about suicide while taking Epidiolex. Stay alert to changes in your mood or symptoms. Report any new or worsening symptoms to your doctor.,"1 year or older:
Initial dose: 2.5 mg/kg orally twice a day
-Increase dose in weekly increments of 2.5 mg twice a day (5 mg/kg/day) as tolerata to 12.5 mg/kg twice a day
-For patients requiring a more rapid titration, the dose may be increased no more frequently than every other day
Maintenance dose: 25 mg/kg/day
Maximum dose: 25 mg/kg/day

Comments:
-The effectiveness of doses lower than 25 mg/kg/day has not been studied.
-Consistent dosing with respect to meals is recommended to reduce variability in cannabidiol plasma exposure.

Use: For the treatment of seizures associated with tuberous sclerosis complex in patients 1 year and older.","Avoid driving or hazardous activity until you know how this medicine will affect you. Dizziness or drowsiness can cause falls, accidents, or severe injuries.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Many other drugs can interact with cannabidiol, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed here. Tell your doctor about all your current medicines and any medicine you start or stop using."
epipen-auto-injector,EpiPen may be kept on hand for self-injection by a person with a history of an severe allergic reaction.,It is not known if EpiPen and EpiPen Jr are safe and effective in children who weigh less than 33 pounds (15 kilograms).,,"Store at room temperature away from moisture, heat, and light. Do not refrigerate this medication, and do not store it in a car.","Accidentally injecting EpiPen into your hands or feet may result in a loss of blood flow to those areas, and resulting numbness. If this occurs, seek emergency medical attention.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.
erleada,Erleada is used together with a gonadotropin-releasing hormone (GnRH) or with surgical castration (removal of the testicles).,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use.","240 mg orally once a day

Comments: Patients should receive a gonadotropin-releasing hormone (GnRH) analog concurrently or have had a bilateral orchiectomy.

Use: For the treatment of non-metastatic, castration-resistant prostate cancer (NM-CRPC)",Apalutamide can cause seizures. Avoid activities that could be dangerous if you have an unexpected seizure.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Other drugs may interact with apalutamide, including prescription and over-the-counter medicines, vitamins, and herbal products. Tell your doctor about all your current medicines and any medicine you start or stop using."
erythromycin,Erythromycin may also be used for purposes not listed in this medication guide.,"Antibiotic medicines can cause diarrhea, which may be a sign of a new infection. If you have diarrhea that is watery or bloody, stop taking erythromycin and call your doctor. Do not use anti-diarrhea medicine unless your doctor tells you to.","Store at room temperature away from moisture, heat, and light.","Antibiotic medicines can cause diarrhea, which may be a sign of a new infection. If you have diarrhea that is watery or bloody, call your doctor before using anti-diarrhea medicine.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Many drugs can interact with erythromycin, and some drugs should not be used at the same time. Tell your doctor about all your current medicines and any medicine you start or stop using. This includes prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed here."
escitalopram,Escitalopram is also used to treat anxiety in adults.,"Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate, muscle stiffness, twitching, loss of coordination, nausea, vomiting, or diarrhea.","12 years and older:
-Initial dose: 10 mg orally once a day; increase if necessary after at least 3 weeks of treatment to 20 mg once a day
-Maintenance dose: 10 to 20 mg orally once a day
-Maximum dose: 20 mg orally once a day

Comments:
-Acute episodes may require several months or longer of sustained pharmacological therapy beyond response to the acute episode.
-Patients should be periodically reassessed to determine the need for maintenance treatment.

Use: Acute and maintenance treatment of major depressive disorder",Avoid driving or hazardous activity until you know how escitalopram will affect you. Your reactions could be impaired.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Many drugs may interact with escitalopram, and some drugs should not be used at the same time. Tell your doctor about all your current medicines and any medicine you start or stop using. This includes prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed here."
estrace,Estrace is also available as a vaginal cream.,"Have regular physical exams and mammograms, and self-examine your breasts for lumps on a monthly basis while using Estrace.","Store at room temperature away from moisture, heat, and light. Keep the bottle tightly closed when not in use.",Grapefruit and grapefruit juice may interact with Estrace and lead to unwanted side effects. Avoid the use of grapefruit products.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,
estradiol,Estradiol may also be used for purposes not listed in this medication guide.,"Have regular physical exams and mammograms, and self-examine your breasts for lumps on a monthly basis while using this medicine.","If you are using estradiol spray, avoid fire, flame, or smoking until the spray has dried. Do not apply lotion or sunscreen over the area for at least one hour.",Grapefruit and grapefruit juice may interact with estradiol and lead to unwanted side effects. Avoid the use of grapefruit products.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,
etodolac,Etodolac may also be used for purposes not listed in this medication guide.,"Do not use any other over-the-counter cold, allergy, or pain medication without first asking your doctor or pharmacist. Many medicines available over the counter contain aspirin or other medicines similar to etodolac (such as ibuprofen, ketoprofen, or naproxen). If you take certain products together you may accidentally take too much of this type of medication. Read the label of any other medicine you are using to see if it contains aspirin, ibuprofen, ketoprofen, or naproxen. Do not drink alcohol while taking this medicine. Alcohol can increase the risk of stomach bleeding caused by etodolac. Avoid exposure to sunlight or artificial UV rays (sunlamps or tanning beds). This medicine can make your skin more sensitive to sunlight and sunburn may result.","Extended Release:
6 to 16 years:
20 to 30 kg: 400 mg orally once a day
31 to 45 kg: 600 mg orally once a day
40 to 60 kg: 480 mg orally once a day
Greater than 60 kg: 1000 mg orally once a day

17 to 18 years: 400 mg to 1000 mg orally once a day

Use: For the relief of signs and symptoms of juvenile rheumatoid arthritis","Ask your doctor before using an antacid, and use only the type your doctor recommends. Some antacids can make it harder for your body to absorb etodolac.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with etodolac, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here."
euthyrox,"Euthyrox is also used to treat or prevent goiter (enlarged thyroid gland), which can be caused by hormone imbalances, radiation treatment, surgery, or cancer.","You may not be able to take Euthyrox if you have certain medical conditions. Tell your doctor if you have an untreated or uncontrolled adrenal gland disorder, a thyroid disorder called thyrotoxicosis, or if you have any recent or current symptoms of a heart attack.","Do not share this medicine with another person, even if they have the same symptoms you have.","Avoid the following food products, which can make your body absorb less levothyroxine: grapefruit juice, infant soy formula, soybean flour, cotton seed meal, walnuts, and high-fiber foods.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Many drugs can interact with levothyroxine. This includes prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed here. Tell your doctor about all your current medicines and any medicine you start or stop using."
evista,Evista is not a cancer medication and will not treat breast cancer.,"Although this medicine is for use only in postmenopausal women, you should not take Evista if you are pregnant or breastfeeding.","60 mg orally per day

Comments:
-For treatment or prevention of osteoporosis, advise patients to add supplemental calcium and/or vitamin D if daily intake is inadequate.
-When this drug is used to reduce the risk of invasive breast cancer, the optimum duration of treatment is not known.

Uses:
-Treatment and prevention of osteoporosis in postmenopausal women.
-Reduction in risk of invasive breast cancer in postmenopausal women with osteoporosis and/or at high risk of invasive breast cancer.","This medicine can pass into body fluids (urine, feces, vomit). Caregivers should wear rubber gloves while cleaning up a patient's body fluids, handling contaminated trash or laundry or changing diapers. Wash hands before and after removing gloves. Wash soiled clothing and linens separately from other laundry.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with raloxifene, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here."
excedrin,Excedrin may also be used for purposes not listed in this medication guide.,"In rare cases, acetaminophen may cause a severe skin reaction. Stop taking Excedrin and call your doctor right away if you have skin redness or a rash that spreads and causes blistering and peeling.",Store Excedrin at room temperature away from moisture and heat.,"Avoid coffee, tea, cola, energy drinks or other sources of caffeine while taking this medication. They can add to the side effects of the caffeine in the medication.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Other drugs may interact with Excedrin, including prescription and over-the-counter medicines, vitamins, and herbal products. Tell each of your health care providers about all medicines you use now and any medicine you start or stop using."
exelon,The use of Exelon in in patients under 18 years of age is not recommended.,"Before using Exelon, tell your doctor if you have liver disease, a heart rhythm disorder such as ""sick sinus syndrome"" (slow heartbeats), recent weight loss or lack of appetite, an enlarged prostate, urination problems, a seizure disorder, asthma or allergies, tremors or uncontrolled muscle movements, or a history of stomach ulcer.","Mild to moderate Parkinson's disease dementia:
Oral:
Initial dose: 1.5 mg orally twice a day with morning and evening meals
Maintenance dose: Subsequently, the dose can be increased to 3 mg orally twice a day and further to 4.5 mg twice a day and 6 mg twice a day (based on tolerability) with a minimum of 4 weeks at each dose.",Avoid driving or hazardous activity until you know how this medicine will affect you. Your reactions could be impaired.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete and many other drugs may interact with rivastigmine. This includes prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here."
ezetimibe,Ezetimibe is sometimes given with other cholesterol-lowering medications.,"Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, and dark colored urine.",Avoid eating foods that are high in fat or cholesterol. This medicine will not be as effective in lowering your cholesterol if you do not follow a cholesterol-lowering diet plan.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,10 mg once a day with or without food.,"This list is not complete. Other drugs may interact with ezetimibe, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed in this medication guide."
famotidine,"The Zantac 360 brand of this medicine does not contain ranitidine, a medicine that was withdrawn from market in the United States.",heart attack,Ask a doctor before using famotidine if you are pregnant or breastfeeding.,Throw away any unused liquid that is older than 30 days.,"Avoid taking other stomach acid reducers unless your doctor has told you to. However, you may take an antacid (such as Maalox, Mylanta, Gaviscon, Milk of Magnesia, Rolaids, or Tums) with famotidine.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.
farxiga,Farxiga is not for treating type 1 diabetes.,"Some people taking this medicine have had bladder cancer, but it is not clear if dapagliflozin was the actual cause.","10 mg orally once a day

Comments:
-Correct volume depletion prior to initiating therapy.
-This drug is not recommended for patients with type 1 diabetes mellitus.

Use: To reduce the risk of cardiovascular death and hospitalization for heart failure in adults with heart failure (NYHA class II-IV) with reduced ejection fraction.","Avoid getting up too fast from a sitting or lying position, or you may feel dizzy.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with dapagliflozin, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here."
fasenra,Fasenra is for people whose asthma is not well controlled with other medications.,"Before you receive Fasenra, tell your doctor about all your medical conditions or allergies, all medicines you use, and if you are pregnant or breast-feeding.","12 years and older:
30 mg subcutaneously once every 4 weeks for the first 3 doses, then once every 8 weeks thereafter

Comments:
-This drug should be injected into the upper arm (for caregiver administration only), thigh, or abdomen.

Use: For add-on maintenance therapy of patients 12 years and older with severe asthma with an eosinophilic phenotype","Follow your doctor's instructions about any restrictions on food, beverages, or activity.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Other drugs may interact with benralizumab, including prescription and over-the-counter medicines, vitamins, and herbal products. Tell your doctor about all your current medicines and any medicine you start or stop using."
femara,"Femara is used to treat breast cancer in postmenopausal women. It is often given to women who have been taking tamoxifen (Nolvadex, Soltamox) for 5 years.","Tell your doctor about all other medicines you use, especially tamoxifen (Soltamox).","For use as extended adjuvant treatment of early breast cancer in postmenopausal women who have received 5 years of adjuvant tamoxifen therapy: 2.5 mg tablet orally administered once a day without regard to meals.

The optimal duration of treatment with Femara is not known. Treatment should be discontinued if there is a tumor relapse.",Avoid driving or performing any hazardous activities until you know how this medicine will affect you. Your reactions could be impaired.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Other drugs may interact with letrozole, including prescription and over-the-counter medicines, vitamins, and herbal products. Tell each of your health care providers about all medicines you use now and any medicine you start or stop using."
fenofibrate,"In addition to eating a proper diet (such as a low-cholesterol/low-fat diet), other lifestyle changes that may help fenofibrate work better include exercising, losing weight if overweight, and stopping smoking.","Fenofibrate can cause the breakdown of muscle tissue, which can lead to kidney failure. Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, or dark urine.","Tricor: 48 mg orally once a day. Increases in dosage should occur only after evaluating the effects on renal function and lipid levels at this dose, with a maximum recommended dose of 145 mg/24 hours.

Lofibra and others: 54 mg to 67 mg orally once a day with food. Individualize dosage according to patient response and adjust if necessary following repeat lipid determinations at 4 to 8 week intervals.

Antara: 43 mg orally once a day. Individualize dosage according to patient response and adjust if necessary following repeat lipid determinations at 4 to 8 week intervals.

Triglide: 50 mg orally once a day. Individualize dosage according to patient response and adjust if necessary following repeat lipid determinations at 4 to 8 week intervals.

Lipofen: 50 mg orally once a day with food. Individualize dosage according to patient response and adjust if necessary following repeat lipid determinations at 4 to 8 week intervals.

Fenoglide: 40 mg to 120 mg orally once a day with food",Avoid drinking alcohol. It can raise triglyceride levels and may increase your risk of liver damage.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may affect fenofibrate, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here."
fentanyl,See also: Fentanyl Abuse,"Fatal side effects can occur if you use this medicine with alcohol, or with other drugs that cause drowsiness or slow your breathing.","Due to the risk of respiratory depression, the transdermal patch is for use in opioid-tolerant patients only; opioid tolerant patients have been taking at least: morphine 60 mg daily, oral oxycodone 30 mg daily, oral hydromorphone 8 mg daily, or an equianalgesic dose of another opioid for 1 week or longer.
-Discontinue all other extended-release opioids when beginning therapy.

Initial doses: The initial dose should be individualized taking into account the patient's prior treatment experience. This dose may be calculated based on the dose conversion guidelines in the product package insert, local protocol, or another reliable reference; when calculating, be aware there is substantial inter-patient variability in the relative potency of different opioid drugs and products and therefore it is preferable to underestimate a 24-hour fentanyl requirement and provide rescue medication than to overestimate which could result in adverse reactions.
Dose titration:
-Initial: May increase dose after 3 days based on the daily dose of supplemental opioid analgesics required by the patient on the second or third day of the initial application.
-Further titration should occur after no less than two 3-day applications as it may take up to 6 days for fentanyl levels to reach equilibrium. Titration should be based on the daily dose of supplementary opioids required and the following ratio may be used: Increase transdermal fentanyl by 12 mcg//hr for use of supplemental oral morphine doses of 45 mg/24 hours.
Maintenance dose: Adjust dose to obtain an appropriate balance between pain management and opioid-related adverse reactions. During chronic therapy, periodically reassess the continued need for opioid analgesics.

Comments:
-Do not begin a patient on a fentanyl transdermal patch as their first opioid.
-A small number of patients may require a 48-hour dosing interval; an increase in dose should be evaluated before changing dosing intervals.",Avoid driving or operating machinery until you know how using fentanyl patches will affect you. Dizziness or severe drowsiness can cause falls or other accidents.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with fentanyl, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed here."
ferrous_sulfate,Ferrous sulfate is used to treat iron deficiency anemia (a lack of red blood cells caused by having too little iron in the body).,Ferrous sulfate is only part of a complete program of treatment that may also include a special diet. It is very important to follow the diet plan created for you by your doctor or nutrition counselor. You should become very familiar with the list of foods you should eat to make sure you get enough iron from both your diet and your medication.,Avoid taking other iron supplements. Do not take any vitamin or mineral supplements without asking a doctor or pharmacist.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Preterm infant (less than 37 weeks gestation), 0 to 12 months: 10 mg/kg/day ferrous sulfate (FeSO4) (2 mg/kg/day elemental iron)
0 to 6 months: 1 to 1.35 mg/day FeSO4 (0.2 to 0.27 mg/day elemental)
7 to 12 months: 35 to 55 mg/day FeSO4 (7 to 11 mg/day elemental)
1 to 3 years: 20 to 45 mg/day FeSO4 (4 to 9 mg/day elemental)
4 to 8 years: 20 to 50 mg/day FeSO4 (4 to 10 mg/day elemental)
9 to 13 years: 30 to 40 mg/day FeSO4 (6 to 8 mg/day elemental)
14 to 18 years: 40 to 75 mg/day FeSO4 (8 to 15 mg/day elemental)
-Give in divided doses (1 to 3 times daily)

or

Tablets (325 mg FeSO4, 65 mg elemental iron)
12 years and older: 1 tablet orally once a day","This list is not complete. Other drugs may interact with ferrous sulfate, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here."
fintepla,"
Fintepla is a prescription medicine used to treat the seizures associated with Dravet syndrome in patients 2 years of age and older.
Fintepla is a federally controlled substance (C-IV) because it contains fenfluramine. Keep this medicine in a safe place to prevent misuse, abuse, and protect it from theft. Never give your Fintepla to anyone else, because it may harm them. Selling or giving away this medicine is against the law. Tell your healthcare provider if you have abused or been dependent on alcohol, prescription medicines, or street drugs.
It is not known if this medicine is safe and effective in children less than 2 years of age.
","5. Do not stop taking Fintepla without first talking to your healthcare provider. Stopping a seizure medicine such as Fintepla suddenly can cause you to have seizures more often or seizures that do not stop (status epilepticus).
Call your healthcare provider between visits as needed, especially if you are worried about symptoms.","Tell your healthcare provider about all the medicines you take, including prescription and over-the-counter medicines, vitamins, and herbal supplements.
Know the medicines you take. Keep a list of them to show your healthcare provider or pharmacist when you get a new medicine.","
Read the Instructions for Use leaflet that comes with your prescription for information on the right way to use Fintepla.
Take this medicine exactly as your healthcare provider tells you to take it.
Your healthcare provider will tell you how much Fintepla to take and when to take it.
Fintepla may be taken with or without food.
Measure your dose of Fintepla using the dosing syringe that is provided by the pharmacy. Do not use a household teaspoon or tablespoon.
Fintepla can be given through gastric and nasogastric feeding tubes.
","
Do not drive, operate heavy machinery, or do other dangerous activities until you know how Fintepla affects you. Fintepla may cause you to feel sleepy.
","These are not all the possible side effects. For more information, ask your healthcare provider or pharmacist.
Tell your healthcare provider if you have any side effect that bothers you or that does not go away.
Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088."
