item,count
"What products in the U.S. still contain lead, besides paint and ceramics?",1
What other tumor marker tests may be ordered?,1
What other tests might my healthcare provider recommend if my child has CF?,1
What other tests might my healthcare practitioner do to check pancreas function?,1
What other tests might my doctor order to diagnose my flu-like symptoms?,1
What other tests might my doctor order in evaluating me for RA?,1
What other tests might my doctor order besides ESR?,1
What other tests might be ordered in emergency or overdose cases?,1
"When I look on the Internet for information about safe and unsafe drugs, different sites use different classifications and the lists are not the same. Why is this?",1
When is a blood hCG test ordered instead of a urine hCG?,1
When is the pertussis vaccine given?,1
White blood cells (WBCs),1
Who performs a kidney stone analysis?,1
Who orders tacrolimus tests?,1
Who orders sirolimus tests?,1
Who orders lithium tests?,1
Who orders digoxin tests?,1
Who orders cyclosporine tests?,1
Whooping Cough (Pertussis) Tests,1
Who is at risk of sepsis?,1
Who is at risk for sickle cell disease?,1
Who is at risk for liver disease and/or damage?,1
Who is at risk for antiphospholipid syndrome?,1
Who are universal blood donors and recipients?,1
White Blood Cell (WBC) Tests,1
White Blood Cell (WBC) Differential,1
White Blood Cell Count (WBC),1
"When my increased ammonia level has returned to normal, can it rise again?",1
White Blood Cell Count Reference Range,1
Where are sirolimus tests performed?,1
Where are mycophenolic acid tests performed?,1
When to get tested?,1
When should I get Pap smear?,1
When should I get immunization testing?,1
When should I get <em>BRCA </em>genetic mutation testing?,1
When should I get a PCR or molecular COVID-19 Test?,1
When should I get an antinuclear antibody test?,1
When should I get a gonorrhea test?,1
When should I get a COVID-19 antigen test?,1
When should I get a COVID-19 antibody test?,1
When should I get a comprehensive metabolic panel?,1
When should I get a cholesterol test?,1
What other tests might be ordered?,1
What other tests might be done?,1
What other tests may be used to help determine the cause of liver damage?,1
What is the treatment for an electrolyte imbalance?,1
What medications can affect a TSH test?,1
What kind of procedures might follow a positive FOBT or FIT?,1
What is Zollinger-Ellison syndrome?,1
What is von Willebrand factor?,1
What is VLDL and how does it relate to triglyceride?,1
What is transient hypogammaglobulinemia of infancy (THI)?,1
What is thoracentesis and how is it performed?,1
What is Thimerosal?,1
What is the treatment of peptic ulcer caused by <em>H. pylori</em>?,1
What is the treatment for sepsis?,1
What is the treatment for RSV?,1
What is the treatment for male infertility?,1
What is the treatment for hemoglobinopathy?,1
What is the treatment for HCV?,1
What is the T3 uptake test?,1
What other antiepileptic drugs (AEDs) are there?,1
What is the recommended dietary salt intake?,1
What is therapeutic drug monitoring (TDM)?,1
What is the Prostate Health Index (PHI)?,1
What is the lactate/pyruvate ratio and how is it used?,1
What is the formula used to calculate LDL-C?,1
What is the formula for calculating osmolality?,1
What is the difference between urine osmolality and specific gravity?,1
"What is the difference between tests for fibrinogen, d-dimer, and fibrin degradation products (FDP)?",1
What is the difference between regular CRP and hs-CRP tests?,1
What is the difference between primary CVD treatment and secondary treatment?,1
"What is the difference between prealbumin, serum/plasma albumin, and urine albumin tests?",1
What is the difference between P-amylase and S-amylase?,1
What is the difference between osmolality and osmolarity?,1
What is the difference between multidrug-resistant TB (MDR-TB) and extensively-resistant TB (XDR-TB)?,1
What occupations might result in lead exposure?,1
What other conditions may alter ferritin levels?,1
What other tests may be used to assess cardiac risk?,1
What other tests are used to evaluate liver disorders?,1
What other tests may be performed to help determine the cause of liver damage?,1
What other tests may be performed?,1
What other tests may be done to rule out secondary (reactive) causes of increased eosinophils?,1
What other tests may be done to evaluate kidney function?,1
What other tests may be done to evaluate an elevated prolactin?,1
What other tests may be done in addition to hemoglobin?,1
What other tests may be done in addition to CSF testing?,1
What other tests may be done in addition to a hematocrit?,1
What other tests may be done if a systemic bacterial infection or sepsis is suspected?,1
What other tests detect a heart attack?,1
What other tests could be useful in assessing PTH?,1
What other tests besides those included in a renal panel might be ordered to assess kidney function?,1
What other tests are used with the blood urea nitrogen test to check how my kidneys are functioning?,1
What other tests are used to help determine the risk of preterm delivery?,1
What other tests are used to diagnose sarcoidosis?,1
What other factors affect the transferrin level?,1
What other tests are available for allergy testing?,1
What other stool screening tests are available?,1
What other procedures will my healthcare practitioner likely order along with CA 19-9?,1
What other procedures might my healthcare practitioner order if my D-dimer is positive?,1
What other minerals are required by the body?,1
What other micronutrients are required by the body?,1
What other lab tests might be ordered after I begin taking lithium?,1
What other lab tests might be done?,1
What other lab tests may be performed?,1
What other laboratory tests might my healthcare practitioner perform?,1
What other laboratory tests might be done if I or my child has a normal elastase test?,1
What other laboratory tests might be done if I or my child has a negative cymotrypsin test?,1
What other laboratory tests may be done if I have a bone disorder?,1
What other findings might suggest kidney dysfunction?,1
Who performs arbovirus testing?,1
Who should take iron supplements?,1
"The pancreas and nearby organs and structures. Image credit: Don Bliss, National Cancer Institute",1
"Will exercise, nutrition, and other lifestyle modifications help decrease my HIV viral load?",1
Will a high protein diet raise my total protein level?,1
Will an O&amp;P detect all parasites?,1
Will anti-LKM-1 ever go away?,1
Will ASCA go away once they have developed?,1
Will every person with cancer have a CEA test performed?,1
Will exercise affect my creatinine levels?,1
Will factor V Leiden or PT 20210 ever go away?,1
Why am I only tested once?,1
Will I be given general anesthesia for a bone marrow aspiration and/or biopsy?,1
Will I be monitored differently after the test?,1
Will I be tested if I am taking oral vancomycin?,1
Will I have all or just some of these bone markers tested?,1
Will I have gestational diabetes with subsequent pregnancies?,1
Will I need to have this test done more than once?,1
Will a blood transfusion affect reticulocyte results?,1
Widal Test,1
Why would someone be tested for something that is legal?,1
Why would someone be tested for a drug that is legal?,1
Why would my healthcare provider recommend a folate supplement when I am taking methotrexate?,1
Why would my healthcare provider not monitor my ovarian cancer with HE4?,1
Why would my healthcare practitioner want me to wait to test my lipids?,1
Why would my healthcare practitioner order an Lp(a) more than once?,1
"Why would my healthcare practitioner order a ""baseline"" serum free light chain test?",1
Why would my healthcare practitioner collect more than one sputum sample?,1
Why would my healthcare practitioner collect more than one sample?,1
Why would malabsorption cause vitamin deficiency?,1
Why would DNA sequencing be done as part of sickle cell testing?,1
Why would collection of a urine sample need to be observed by a healthcare professional?,1
Why would a urine creatinine be ordered along with a urine drug test?,1
Why would athletes be tested for growth hormone?,1
Why would a separate test be ordered for fungus or an AFB smear and culture?,1
Will latent porphyria affect my health?,1
Will my allergies ever go away?,1
Will my anticentromere antibody ever go away?,1
Would a doctor ever prescribe an antibiotic without or before performing a culture?,1
25-hydroxyvitamin D,1
17-Hydroxyprogesterone,1
10-Panel Drug Test Results,1
10-Panel Drug Test,1
5-hydroxyindoleacetic Acid,1
5-HIAA,1
Zinc Transporter-8 Autoantibodies (ZnT8A),1
Zinc Protoporphyrin,1
Zika Virus Testing,1
Zika virus. Image credit: National Institute of Allergies and Infectious Diseases,1
"Zika is a viral infection that is spread primarily by the bites of infected Aedes mosquitoes. Image credit: James Gathany, CDC",1
"Yellowing of the whites of the eyes (jaundice). Image credit: Thomas Sellers, CDC",1
Xylose Absorption Test,1
Would this testing and drug therapy be useful for other types of cancer?,1
Will this test tell me the sex of my baby?,1
Will my anti-dsDNA ever go away?,1
Will this CF gene mutation panel detect any other genetic diseases?,1
Will these tests always be run as a panel?,1
Will taking aspirin at normal dosage cause complications?,1
Will smooth muscle antibody (SMA) ever go away?,1
Will PSA testing detect all prostate cancers?,1
Will phenobarbital affect other medicines that I am taking?,1
Will PCA3 testing detect all prostate cancers?,1
Will my WBC antigens change?,1
Will my platelet function change over time?,1
Will my fungal infection eventually resolve itself without treatment?,1
Will my ENA autoantibodies ever go away?,1
"Will my doctor order free carbamazepine or carbamazepine-10,11-epoxide frequently?",1
Will my CCP antibody ever go away?,1
Will my antineutrophil cytoplasmic antibodies (ANCA) ever go away?,1
Why would an ER doctor want to know about all other medications and supplements that a person has taken when it is known that the person has taken a large quantity of a specific drug?,1
Why would an athlete be tested for sickle cell trait?,1
Why would a healthcare practitioner choose to measure lactate in a blood sample from an artery rather than blood from a vein?,1
Why does my lab report also list carboxyhemoglobin? What is it?,1
Why is my family history important?,1
"Why is mono sometimes called ""the kissing disease""?",1
Why is it important to have my blood drawn for my digoxin test at a certain time?,1
Why is it called Legionnaires disease?,1
Why is having syphilis a problem during pregnancy?,1
Why is every newborn screened for hemoglobinopathies?,1
Why haven't I heard about mycoplasmas?,1
Why hasn't the automated blood cell counter totally replaced the blood smear?,1
Why get tested?,1
Why do I need to avoid live vaccines while I am taking methotrexate?,1
Why do I need a spinal tap? Why can't my blood or urine be tested?,1
Why does the karyotype take several days to perform?,1
Why does the healthcare practitioner need a 24-hour urine sample if a random sample has already been tested?,1
Why doesn't a drug screen measure all drugs?,1
Why does my doctor want to send a second sTfR test to the same laboratory as the first test?,1
Why is my healthcare provider asking me to take my TB medication in the presence of a nurse?,1
Why does my doctor want to know all of the medications and supplements I am taking?,1
Why does my doctor want me to go to the same laboratory each time I have my HIV viral load tested?,1
Why does it need to be a fresh stool sample?,1
Why does insulin have to be injected?,1
Why didn't my healthcare practitioner check my thyroglobulin level before removing my thyroid?,1
Why did my doctor report my child's whooping cough?,1
"Why did I get sick eating something when I travelled internationally, but the locals who ate the same thing did not get sick?",1
Why can blood culture results take so long?,1
Why are these tests important?,1
Why are some inherited bleeding disorders more severe than others?,1
Why aren't antibiotics a recommended treatment for an infection with Shiga toxin-producing E. coli ?,1
Why are my A1c and blood glucose different?,1
"Why are factors such as age, sex, and race used in eGFR calculations?",1
Why are aminoglycosides used at all if they can cause permanent hearing loss?,1
Why is my healthcare practitioner not screening me for CA 19-9?,1
Why is my healthcare provider testing me for 21-hydroxylase autoantibodies and/or adrenal cytoplasmic autoantibodies?,1
Why would a chromosome analysis be done more than once?,1
Why might a healthcare practitioner test for only one specific opioid?,1
Why shouldn't I take anti-diarrheal medication if I have a Shiga toxin-producing E.coli infection of the gastrointestinal system?,1
Why shouldn't I take an over the counter anti-diarrhea medicine when I have infectious diarrhea?,1
Why shouldn't I take an over the counter anti-diarrhea medicine when I have diarrhea caused by <em>C. difficile</em>?,1
Why shouldn't I take an over the counter anti-diarrhea medicine?,1
Why should aspirin not be given to children?,1
Why not use the fFN test after 35 weeks?,1
Why not just order an iron test?,1
Why must the stool sample for culture be fresh?,1
Why must the stool sample be fresh?,1
Why might one person get an infection and another person not?,1
Why might my healthcare provider repeat my eGFR test?,1
Why might it take a long time to be diagnosed with lupus?,1
Why might an ER doctor test a person for acetaminophen if he or she denies taking it?,1
Why might a healthcare provider only test for a single drug?,1
Why is this testing important?,1
Why is my travel history important to my healthcare practitioner?,1
Why is this pattern of prevalence seen?,1
Why is the HIV RNA test used to test newborns for HIV infection?,1
Why is the flu such a big deal?,1
Why is the fasting blood sample collected?,1
Why is the <em>T. gondii</em> infection rate higher in some countries?,1
Why is the detection of G6PD deficiency important?,1
Why is the blood test for <em>H. pylori</em> antibodies no longer recommended?,1
Why is TDM important?,1
Why is pharmacogenetics important?,1
Why isn't vancomycin more widely used?,1
Why isn't erythropoietin measured to monitor erythropoietin drug therapy?,1
Why isn’t calcitonin testing performed as a routine screen?,1
Why isn’t CA-125 used to screen for ovarian cancer?,1
Why isn't a Gram stain performed on all samples sent for culture?,1
What is the difference between laboratory and point-of-care or at-home cholesterol tests?,1
What is the difference between group A and group B streptococcus?,1
What is the difference between EGFR (also known as HER-1) and HER-2?,1
Vitamin B Testing,1
Viral Hepatitis C Antibody Screen,1
Viral Hepatitis C RNA by PCR,1
Visual Exam,1
Vitamin A,1
Vitamin B12,1
Vitamin B12 and Folate,1
Vitamin D Tests,1
What is the difference between Cushing disease and Cushing syndrome?,1
Vitamin K,1
Vitamin K Tests,1
VLDL Cholesterol,1
von Willebrand Factor,1
von Willebrand Factor Antigen and Activity,1
Warfarin Sensitivity Testing,1
Viral Hepatitis A Antibody,1
View Source,1
View Comprehensive Table of Drugs that May Be Tested,1
VIdeo credit: National Cancer Institute,1
Video credit: Hormone Health Network,1
Very Low-Density Lipoprotein Cholesterol,1
Varicella Zoster Virus,1
VAP,1
Vanillylmandelic Acid (VMA),1
"Vanillylmandelic Acid, urine",1
Vancomycin,1
Valproic Acid,1
"Use EPA-registered insect repellents containing DEET, picaridin, oil of lemon eucalyptus (OLE), or IR3535m and only used as directed. Image credit: CDC",1
Urobilinogen,1
Urine Protein and Urine Protein to Creatinine Ratio,1
"Urine Metanephrines, Total and Fractionated",1
Urine Metanephrines,1
"Wash your hands thoroughly and often with soap and water to help protect against respiratory infections. Image credit: Dawn Arlotta, CDC",1
"Wash your hands well and often to help avoid the flu. Image credit: Amanda Mills, CDC",1
WBC Differential Reference Range,1
What are globulin proteins and how are they measured in blood?,1
What are some other tests that may be done when the PSA level is only slightly elevated to help decide whether a prostate cancer is present?,1
What are some other tests that may be done to determine the underlying cause of cryoglobulinemia?,1
What are some other risk factors for ovarian cancer?,1
What are some other details about T cells?,1
What are some other details about B cells?,1
What are some of the specific methods used to analyze kidney stones?,1
What are some good sources of folic acid and vitamins B6 and B12?,1
What are some good dietary sources of potassium?,1
What are some common risk factors for inappropriate blood clotting?,1
What are some common opportunistic infections I might get if I have an HIV infection?,1
What are some causes of anemia besides iron deficiency?,1
What are some additional details on LA testing results?,1
What are phytoestrogens and environmental estrogens?,1
What are my treatment options?,1
What are genetic tests for targeted cancer therapy?,1
Webinar Replay: Understanding and Interpreting Complete Blood Count (CBC) Results. Video credit: Patient Power,1
What are free light chains and how are they related to immunoglobulins?,1
What are estrogen receptors?,1
"What are congenital (inherited) dysfibrinogenemia, hypofibrinogenemia and afibrinogenemia?",1
What are chronic inflammatory diseases?,1
What are chemistry panels?,1
What are cardiac biomarkers?,1
What are Bence Jones proteins?,1
What are autoantibodies?,1
What are appropriate treatments for the common causes of low potassium (hypokalemia) and high potassium (hyperkalemia)?,1
What are aldosterone stimulation and suppression tests?,1
West Nile Virus Testing,1
"West Nile Virus particles. Image credit: P.E. Rollin, CDC",1
"West Nile Virus is spread through the bites of infected mosquitoes. Image credit: James Gathany, CDC",1
"West Nile Virus, IgM and IgG Antibodies and Nucleic Acid Amplification Tests",1
Urine is the most frequently tested sample for opioids.,1
Urine Culture,1
Urine color,1
Thiopurine S-methyltransferase Genotype,1
Titer Test,1
Tissue Transglutaminase Antibody,1
Thyroid-stimulating Hormone (TSH),1
Thyroid Stimulating Hormone Receptor Antibody,1
Thyroid Peroxidase Antibody,1
Thyroid Panel Test Results,1
Thyroid Panel,1
Thyroid Antibodies,1
"Thyroglobulin, Serum or Plasma",1
Thyroglobulin Antibody,1
Thyroglobulin,1
Thrombin Time,1
Three dimensional model of human paillomavirus (HPV). Image credit: National Institutes of Health,1
Thiopurine S-methyltransferase Phenotype,1
Thiopurine methyltransferase (TPMT),1
"To prevent toxoplasmosis, pregnant women should have someone else clean pet cat litter boxes. Image credit: James Gathany, CDC",1
"The urinary tract with kidney stones in kidney, ureter, and bladder. Image credit: National Institute of Diabetes and Digestive and Kidney Diseases",1
"The urinary tract with kidney stones in kidney, ureter, and bladder   Image credit: National Institute of Diabetes and Digestive and Kidney Diseases",1
"The size of the swelling is measured and used to determine if the TB skin test is positive or negative. Image credit: Gabrielle Beninson, CDC",1
The role of Red Blood Cells. Video credit: American Society of Hematology,1
The Role of Red Blood Cells in Anemia. Video credit: American Society of Hematology,1
The role of red blood cells in anemia. Video credit: American Society of Hematology,1
The role of proteins in blood clotting. Video credit: American Society of Hemaology,1
The results of my hepatitis panel came back negative.  What other conditions can cause similar symptoms?,1
There are two descriptions of what may be referred to using the term &quot;coagulation cascade.&quot;,1
Therapeutic Drug Monitoring,1
"The prostate and nearby organs. Image credit: Alan Hoofring, National Cancer Institute",1
"The prostate and nearby organs. An inset provides a close-up view of the prostate. Image credit: Alan Hoofring, National Cancer Insitute",1
The pancreas with a close up of islet and beta cells. Image credit: NIDDK,1
"The pancreas (head, body, tail, and the pancreatic duct), and nearby organs and structures (duodenum, common bile duct, and small intestine) . Image credit: Don Bliss, National Cancer Institute",1
Is sample collection critical for lupus anticoagulant (LA) testing?,1
TORCH,1
Urine clarity,1
Transthyretin,1
Urine Albumin and Albumin to Creatinine Ratio,1
Urinalysis,1
Uric Acid,1
Unsaturated Iron Binding Capacity,1
Types of Body Fluid Testing,1
Tumor Necrosis Factor (TNF) Inhibitors and TNF Inhibitor Antibodies,1
Tumor Markers,1
Tryptase,1
Troponin,1
Triglycerides,1
Trichomonas vaginalis. Image credit: CDC,1
Trichomonas Testing,1
"Treponema pallidum, the bacteria that cause syphlis. Image credit: CDC",1
"Treponema pallidum, the bacteria that cause syphilis. Image credit: National Institute of Allergies and Infectious Diseases",1
Transferrin Saturation,1
TORCH Test,1
"Transferrin and Iron-binding Capacity (TIBC, UIBC)",1
Transferrin,1
Trace Minerals,1
Toxoplasmosis Testing,1
"Toxoplasma gondii parasites as seen under a microscope (crescent shapes). Image credit: Morris T. Suggs Jr., CDC",1
Total Tryptase,1
Total Triiodothyronine,1
"Total Protein, Albumin-Globulin (A/G) Ratio",1
Total Protein,1
Total Iron Binding Capacity,1
Total IgE,1
Total CO<sub>2</sub>,1
Total Carbamazepine,1
Total Calcium Reference Range,1
What are some other tests that might be done to detect iron deficiency or iron overload?,1
What are some serious side effects of levetiracetam?,1
What are some side effects of immunotherapy?,1
What is Addison disease?,1
What is an LA-sensitive PTT and how does it differ from regular PTT?,1
What is anion gap?,1
What is an insulin tolerance test?,1
What is a neural tube defect?,1
What is an ectopic pregnancy?,1
What is an ASO test and how is it used to detect a strep infection?,1
What is an aldosterone/renin ratio (ARR?),1
What is an adrenal crisis?,1
What is amniocentesis and how is it performed?,1
What is AMAS?,1
What is a lumbar puncture (spinal tap) and how is it performed?,1
What is aldolase?,1
What is a GH suppression test?,1
What is a GH stimulation test?,1
What is ADA deficiency?,1
What is a reptilase time (RT) and how is it used?,1
What is a corrected reticulocyte count (CRC)?,1
What is a cardiac risk assessment?,1
What is a BUN to Creatinine ratio?,1
What is a BUN/Creatinine ratio?,1
What is a 3rd generation TSH and an ultrasensitive TSH?,1
What if my breast cancer does not meet a gene expression test's criteria?,1
What if I have a TST and it is more than 72 hours before I go back to have it evaluated?,1
What if I am not sure if I am having a heart attack?,1
What happens if my infection goes untreated?,1
What happens if my healthcare practitioner needs more information than the Gram stain provides?,1
What happened before the RhIg (Rh immune globulin) injection was developed?,1
What foods contain the most iron?,1
What foods can I eat to increase the iron in my diet?,1
What foods are high in calcium?,1
What is an LD isoenzymes test?,1
What is a reticulocyte production index (RPI)?,1
What else is methotrexate used for?,1
What is included in a CBC?,1
What is the difference between CRP and hs-CRP tests?,1
What is the difference between chronic myelogenous leukemia and chronic myeloid leukemia?,1
What is the difference between celiac disease and an allergy to wheat and other grains?,1
What is the clinical relevance of factor V R2 mutation?,1
What is reverse T3?,1
What is PSA isoform p2PSA?,1
What is primary amyloidosis?,1
What is pharmacogenetics?,1
What is pericardiocentesis and how is it performed?,1
What is paracentesis and how is it performed?,1
What is macroprolactin?,1
What is lupus anticoagulant?,1
What is LDL particle testing?,1
What is intraoperative PTH and why is it done?,1
What is immature reticulocyte fraction (IRF)?,1
What is arthrocentesis and how is it performed?,1
What is HIV provirus?,1
What is HIV phenotypic resistance testing?,1
What is HIT type I and how does it differ from HIT type II?,1
What is hepatitis D (HDV) and how is it associated with hepatitis B?,1
What is graft versus host disease (GVHD)?,1
What is gluten and what contains gluten?,1
What is FTI?,1
"What is creatine? If I take creatine, will my creatinine levels go up?",1
What is CK index?,1
What is Bartter syndrome?,1
What is a water loading ADH suppression test?,1
What is a water deprivation ADH stimulation test?,1
What is a struvite stone and what causes it?,1
What is asbestos and how does it cause mesothelioma?,1
What food and medications can affect PT and INR results?,1
What else is known about C-peptide?,1
What are some tests that may be done in follow up?,1
What are the risk factors for preterm labor and delivery?,1
What can I do to increase or decrease bone marker results?,1
What can I do to help prevent formation of a neural tube defect?,1
What can I do to decrease my lactoferrin?,1
What can I do to decrease my calprotectin?,1
What can I do to change my histone antibody level?,1
What can I do to avoid the symptoms of cold agglutinin disease?,1
What can I do to avoid getting a bacterial infection of the digestive tract?,1
What can cause false-positive results in a marijuana test?,1
What can cause a false-positive result?,1
What can cause a false-negative urine hCG?,1
What can be done about post-lumbar puncture pain?,1
"What are total testosterone, free testosterone, and bioavailable testosterone?",1
What are the usual treatments for diabetes?,1
What are the treatment options for bacterial infections?,1
What are the risk factors for liver cancer?,1
What can I do to lower my CRP level?,1
What are the recommended dietary allowances (RDA) for vitamin A?,1
What are the Recommended Dietary Allowances (RDA) for B vitamins?,1
What are the recommendations for rubella vaccination?,1
What are the reasons to test for a specific HLA gene allele?,1
What are the pros and cons of the TPMT phenotype test and the genotype test?,1
What are the other parts of the innate immune system?,1
What are the main risk factors for pancreatic cancer?,1
What are the long-term consequences of pancreatitis?,1
What are the dietary sources of vitamin A?,1
What are the causes of primary adrenal insufficiency?,1
What are symptoms of low magnesium?,1
What are some types of lab methods used for this testing?,1
What are some traditional tests for respiratory infections?,1
What are some tests that may be done to help decide whether a prostate cancer is likely to be fast-growing and spread (metastasize) and therefore should be removed rather than watched?,1
What can I do to lower my apo B?,1
What can I do to lower or increase leptin levels?,1
What else can cause a low platelet count (thrombocytopenia)?,1
What conditions other than liver problems can cause increased ALT?,1
What else can cause acute diarrhea?,1
What drugs can cause rhabdomyolysis?,1
What drugs can affect the serotonin test?,1
What do the results mean?,1
What does vitamin D have to do with PTH?,1
"What does the test result mean (children, teens and young adults)?",1
What does the test result mean (adults)?,1
What does the glucose drink taste like?,1
What does heart attack mean?,1
What does <em>BRCA</em> gene mutation testing measure?,1
What do changes in my ESR mean?,1
What diseases can a CBC detect?,1
What could cause apoB and LDL levels to stay high despite lifestyle changes?,1
What conditions other than liver problems can cause increased AST?,1
What conditions or other factors can affect haptoglobin levels?,1
What can I do to make my creatinine level normal?,1
What conditions are treated with growth hormone therapy?,1
What complications can occur if the infection is not properly treated?,1
What causes the autoimmune disorders associated with HLA-B27?,1
What causes sarcoidosis?,1
What causes primary biliary cholangitis (PBC)?,1
What causes male infertility?,1
What causes inflammation?,1
What can I do to take care of myself if I have alpha-1 antitrypsin (AAT) deficiency?,1
What can I do to reduce my exposure to mercury?,1
What can I do to raise my apo A-I?,1
What can I do to protect against West Nile virus?,1
What can I do to protect against arboviruses?,1
What can I do to prevent the spread of strep throat?,1
What can I do to prevent a kidney stone and prevent recurrence?,1
Is shingles contagious?,1
Is a haptoglobin test used for anything else?,1
Is progesterone used as treatment?,1
Can porphyrin tests be done at my healthcare practitioner's office?,1
Can my RBC count be tested at my doctor’s office?,1
Can my state of mind really affect my test results?,1
Can my test be performed in my healthcare practitioner's office?,1
"Cannabis, also referred to as marijuana, is a plant of the species Cannabis sativa that has psychoactive effects. Image credit: Dreamstime commonstockphoto",1
Can other drugs I take affect theophylline levels?,1
Can platelet function assays be used to assess clopidogrel response?,1
Can preterm labor and delivery be prevented?,1
Can vitamin A testing be done in my healthcare practitioner's office?,1
Can protein be measured in samples other than blood?,1
Can results of testing be used to determine the course of my cancer (prognosis)?,1
Can serum free light chain testing be done at home or in my healthcare practitioner's office?,1
Can someone prevent cryoglobulin-related symptoms?,1
Can stones form in other parts of the urinary tract besides the kidney?,1
Can taking too many vitamin B12 and folic acid supplements hurt me?,1
Can my MTHFR genes change?,1
Can my hematocrit be tested at home?,1
Can my healthcare practitioner choose from a variety of platelet function tests?,1
Can my HDL-C be too high?,1
Can my GGT level be elevated if I don't have any symptoms?,1
Can my doctor diagnose tuberculosis without testing my pleural fluid?,1
Can mycoplasma infections be avoided?,1
Can my blood be tested for ADA?,1
Can myasthenia gravis affect my heart?,1
Can molecular testing be performed in my healthcare provider's office or my local hospital laboratory?,1
Can MG be passed from one person to another?,1
Can medications that I am taking affect the amylase level?,1
Can medical providers release medical ethanol test results for legal purposes?,1
Can lupus anticoagulant interfere with the ACT test?,1
Can leptin testing be performed in my doctor's office?,1
Can Legionella bacterial contamination and infection be prevented?,1
Can I use a device for longer than indicated?,1
Can testing be performed in my healthcare practitioner's office?,1
Can testing for mycoplasma be performed in my doctor's office?,1
Can THC screening detect if I’m using medical marijuana or a prescribed form of cannabis?,1
Can this test be done at my local laboratory?,1
Can urine samples be tested for glucose?,1
Can urine be tested instead of blood?,1
Can tryptase testing be done in my doctor's office?,1
Can TNF inhibitor therapy cure my autoimmune disorder?,1
Can’t I just take stomach medicines to address my excess gastrin and stomach acid?,1
Can thyroid antibody testing be done in my doctor's office?,1
Can thyroglobulin testing be performed in my healthcare practitioner's office?,1
Can thrombin time be used for monitoring dabigatran therapy?,1
Can this test be performed in my healthcare provider's office?,1
Can this test be performed in my healthcare practitioner’s office?,1
Can this test be performed in my healthcare practitioner's office?,1
Can this test be performed at my healthcare practitioner’s office?,1
Can this test be done in my doctor's office?,1
Can this test be done in a doctor's office?,1
Can this test be done at my local lab?,1
Can the ANCA test be performed at my local lab?,1
Can this test be done at my healthcare practitioner’s office?,1
Can the total IgE test be performed in my doctor’s office?,1
Can the thrombin time be performed in my doctor's office?,1
Can the test be performed in my healthcare practitioner's office?,1
Can the test be done in my doctor's office?,1
Can these tests be used to diagnose diabetes?,1
Can the reticulocyte count be done on the same tube of blood as the RBC count or CBC?,1
Can the LH test be used to tell if I have ovulated?,1
Can the heparin-induced thrombocytopenia (HIT) antibody test be done in my healthcare practitioner's office?,1
Can the fecal fat test be done in my doctor's office?,1
Can the ENA panel be performed at my healthcare practitioner's office?,1
Can the DHEAS test be performed in my healthcare practitioner's office?,1
Can the ASO test be performed in my doctor's office?,1
Can the anti-dsDNA test be performed at my healthcare practitioner's office?,1
Can I test vancomycin levels at home?,1
Can I test positive from secondhand smoke?,1
Can I test negative and still have the flu?,1
Can I have an AMA or AMA-M2 test done in my healthcare practitioner's office?,1
Can I have my level tested at home?,1
Can I have my blood tested for beta amyloid and tau instead of my CSF?,1
Can I have liver disease if I feel fine?,1
Can I have kidney disease if I feel fine?,1
Can I have ketosis or ketoacidosis and not know it?,1
Can I have iron deficiency if I feel fine?,1
Can I have CAH if no CYP21A2 gene mutations were detected during genetic testing?,1
Can I have B12 and folate tests done in my doctor's office?,1
Can I have a tuberculosis (TB) infection and not be sick?,1
Can I have a sweat chloride test done at my healthcare provider's office?,1
Can I have a normal pregnancy after having GTD?,1
Can I have an Lp(a) test done in my healthcare practitioner's office?,1
Can I have an intrinsic factor antibody test done at my doctor's office?,1
Can I have an inhibin test to screen for ovarian tumors or ovarian cancer?,1
Can I have an abnormal PTH level without having symptoms?,1
Can I have oats in my diet?,1
Can I have abnormal test results and not have liver disease?,1
Can I have abnormal test results and not have kidney disease?,1
Can I get rid of intrinsic factor antibodies?,1
Can I get my vitamin D from yogurt and cheese?,1
Can I get MRSA more than once?,1
Can I get infectious mononucleosis more than once?,1
Can I get HTLV-I/II from donating blood?,1
Can I get diabetic ketoacidosis if I have type 2 diabetes?,1
Can I drink water before or during the test?,1
Can I do this test at home?,1
Can I do anything to increase my production of lactase?,1
Can I do anything to change my antithrombin activity or quantity?,1
Can I do an insulin test at home?,1
Can I do a C-peptide test at home like I can when I check my blood glucose?,1
Can I have my test performed in my healthcare practitioner’s office?,1
Can I have the ceruloplasmin test done in my healthcare provider's office?,1
Can I test negative and still have a respiratory infection?,1
Can I still get the flu if I've had the vaccine?,1
Can I test my valproic acid level at my doctor's office?,1
Can I test myself for HCV at home?,1
Can I test my phenytoin level at home?,1
Can I test my lithium level at home?,1
Can I test my lipids at home?,1
Can I test my levetiracetam level at my healthcare practitioner's office?,1
Can I test my LDL cholesterol at home?,1
Can I test my hemoglobin at home?,1
Can I test my blood glucose levels at home?,1
Can I test for protein in my urine at home?,1
Can I test for ketones in my urine instead of my blood?,1
Can I test for fructosamine at home?,1
Can I take a targeted therapy drug without being tested?,1
Can I take an ALK kinase inhibitor drug therapy without being tested?,1
Can I skip the digital rectal exam (DRE) and just collect a urine sample?,1
Can I have the haptoglobin test done in my healthcare practitioner's office?,1
