item,count
What other findings might suggest kidney dysfunction?,1
What other factors affect the transferrin level?,1
What other tests are used to help determine the risk of preterm delivery?,1
What other tests are used with the blood urea nitrogen test to check how my kidneys are functioning?,1
What other tests besides those included in a renal panel might be ordered to assess kidney function?,1
What other tests may be performed?,1
What other tests might my doctor order in evaluating me for RA?,1
What other tests might my doctor order besides ESR?,1
What other tests might be ordered in emergency or overdose cases?,1
What other tests might be ordered?,1
What other tests might be done?,1
What other tests may be used to help determine the cause of liver damage?,1
What other tests may be performed to help determine the cause of liver damage?,1
What other tests may be done to rule out secondary (reactive) causes of increased eosinophils?,1
What other tests could be useful in assessing PTH?,1
What other tests may be done to evaluate kidney function?,1
What other tests may be done to evaluate an elevated prolactin?,1
What other tests may be done in addition to hemoglobin?,1
What other tests may be done in addition to CSF testing?,1
What other tests may be done in addition to a hematocrit?,1
What other tests may be done if a systemic bacterial infection or sepsis is suspected?,1
What other tests detect a heart attack?,1
What other conditions may alter ferritin levels?,1
What other antiepileptic drugs (AEDs) are there?,1
What occupations might result in lead exposure?,1
What is the difference between multidrug-resistant TB (MDR-TB) and extensively-resistant TB (XDR-TB)?,1
What is the difference between urine osmolality and specific gravity?,1
"What is the difference between tests for fibrinogen, d-dimer, and fibrin degradation products (FDP)?",1
What is the difference between regular CRP and hs-CRP tests?,1
What is the difference between primary CVD treatment and secondary treatment?,1
"What is the difference between prealbumin, serum/plasma albumin, and urine albumin tests?",1
What is the difference between P-amylase and S-amylase?,1
What is the difference between osmolality and osmolarity?,1
What is the difference between group A and group B streptococcus?,1
What is the formula used to calculate LDL-C?,1
What is the difference between EGFR (also known as HER-1) and HER-2?,1
What is the difference between Cushing disease and Cushing syndrome?,1
What is the difference between CRP and hs-CRP tests?,1
What is the difference between chronic myelogenous leukemia and chronic myeloid leukemia?,1
What is the difference between celiac disease and an allergy to wheat and other grains?,1
What is the clinical relevance of factor V R2 mutation?,1
What is reverse T3?,1
What is the formula for calculating osmolality?,1
What is the lactate/pyruvate ratio and how is it used?,1
What medications can affect a TSH test?,1
What is the treatment of peptic ulcer caused by <em>H. pylori</em>?,1
What kind of procedures might follow a positive FOBT or FIT?,1
What is Zollinger-Ellison syndrome?,1
What is von Willebrand factor?,1
What is VLDL and how does it relate to triglyceride?,1
What is transient hypogammaglobulinemia of infancy (THI)?,1
What is thoracentesis and how is it performed?,1
What is Thimerosal?,1
What is the treatment for sepsis?,1
What is the Prostate Health Index (PHI)?,1
What is the treatment for RSV?,1
What is the treatment for male infertility?,1
What is the treatment for hemoglobinopathy?,1
What is the treatment for HCV?,1
What is the treatment for an electrolyte imbalance?,1
What is the T3 uptake test?,1
What is the recommended dietary salt intake?,1
Is there a blood test for Legionella?,1
Is it necessary to repeat a KRAS mutation test?,1
Is the CK test used for purposes other than detecting skeletal muscle damage?,1
Can results of testing be used to determine the course of my cancer (prognosis)?,1
Can preterm labor and delivery be prevented?,1
Can porphyrin tests be done at my healthcare practitioner's office?,1
Can platelet function assays be used to assess clopidogrel response?,1
Can other drugs I take affect theophylline levels?,1
Can my test be performed in my healthcare practitioner's office?,1
Can my state of mind really affect my test results?,1
Can my RBC count be tested at my doctor’s office?,1
Can my MTHFR genes change?,1
Can my hematocrit be tested at home?,1
Can my healthcare practitioner choose from a variety of platelet function tests?,1
Can my HDL-C be too high?,1
Can my GGT level be elevated if I don't have any symptoms?,1
Can my doctor diagnose tuberculosis without testing my pleural fluid?,1
Can mycoplasma infections be avoided?,1
Can my blood be tested for ADA?,1
Can myasthenia gravis affect my heart?,1
Can MG be passed from one person to another?,1
Can protein be measured in samples other than blood?,1
Can serum free light chain testing be done at home or in my healthcare practitioner's office?,1
Is the CALR mutation hereditary?,1
Can someone prevent cryoglobulin-related symptoms?,1
Can the test be performed in my healthcare practitioner's office?,1
Can the test be done in my doctor's office?,1
Can these tests be used to diagnose diabetes?,1
Can the reticulocyte count be done on the same tube of blood as the RBC count or CBC?,1
Can the LH test be used to tell if I have ovulated?,1
Can the heparin-induced thrombocytopenia (HIT) antibody test be done in my healthcare practitioner's office?,1
Can the fecal fat test be done in my doctor's office?,1
Can the ENA panel be performed at my healthcare practitioner's office?,1
Can the DHEAS test be performed in my healthcare practitioner's office?,1
Can the ASO test be performed in my doctor's office?,1
Can the anti-dsDNA test be performed at my healthcare practitioner's office?,1
Can the ANCA test be performed at my local lab?,1
Can THC screening detect if I’m using medical marijuana or a prescribed form of cannabis?,1
Can testing for mycoplasma be performed in my doctor's office?,1
Can testing be performed in my healthcare practitioner's office?,1
Can taking too many vitamin B12 and folic acid supplements hurt me?,1
Can stones form in other parts of the urinary tract besides the kidney?,1
Can medications that I am taking affect the amylase level?,1
Can medical providers release medical ethanol test results for legal purposes?,1
Can lupus anticoagulant interfere with the ACT test?,1
Can leptin testing be performed in my doctor's office?,1
Can I skip the digital rectal exam (DRE) and just collect a urine sample?,1
Can I receive ALK kinase inhibitor drug therapy and still not benefit from it?,1
"Can I prevent, decrease, or get rid of parietal cell antibodies?",1
Can I perform this test at home?,1
Can I monitor triglyceride levels at home?,1
Can I monitor my child’s type 1 diabetes with a CGM device?,1
Can I lower my IL-6 level?,1
Can IL-6 be measured in samples other than blood?,1
Can I just test my blood or urine instead of the stone?,1
Can I just order the test on the internet and perform it at home?,1
Can I just do the screening fecal fat test and not the 72-hour test?,1
Can I have VWD and not know it?,1
Can I have the haptoglobin test done in my healthcare practitioner's office?,1
Can I have the ceruloplasmin test done in my healthcare provider's office?,1
Can I have oats in my diet?,1
Can I have my test performed in my healthcare practitioner’s office?,1
Can I have my level tested at home?,1
Can I still get the flu if I've had the vaccine?,1
Can I take an ALK kinase inhibitor drug therapy without being tested?,1
Can I test for fructosamine at home?,1
Can I test myself for HCV at home?,1
Can Legionella bacterial contamination and infection be prevented?,1
Can I use a device for longer than indicated?,1
Can I test vancomycin levels at home?,1
Can I test positive from secondhand smoke?,1
Can I test negative and still have the flu?,1
Can I test negative and still have a respiratory infection?,1
Can I test my valproic acid level at my doctor's office?,1
Can I test my phenytoin level at home?,1
Can I test for ketones in my urine instead of my blood?,1
Can I test my lithium level at home?,1
Can I test my lipids at home?,1
Can I test my levetiracetam level at my healthcare practitioner's office?,1
Can I test my LDL cholesterol at home?,1
Can I test my hemoglobin at home?,1
Can I test my blood glucose levels at home?,1
Can I test for protein in my urine at home?,1
Can the thrombin time be performed in my doctor's office?,1
Can the total IgE test be performed in my doctor’s office?,1
Can this test be done at my healthcare practitioner’s office?,1
Details on Red Blood Cell Irregularities (RBC morphology),1
Does everyone metabolize alcohol at the same rate?,1
Does early detection of beta cell destruction allow its prevention?,1
Does donating blood affect my iron level?,1
Does chickenpox leave scars?,1
Does anemia due to iron deficiency happen quickly or does it take a long time?,1
Do elevated lipase levels always mean I have a pancreatic condition?,1
Do elevated amylase levels always mean that I have a pancreatic condition?,1
Do EBV infection and mono occur throughout the world?,1
Do diet and nutrition help keep RBCs at healthy levels?,1
Do creatinine levels change with age?,1
Do chickenpox and shingles occur throughout the world?,1
Do any forms of tobacco not contain nicotine?,1
Do all states require or offer newborn screening for CF? Do I need to request it?,1
Do all people with iron deficiency have anemia? What are the symptoms?,1
Do all people with iron deficiency have anemia?,1
Do all men have estrogens?,1
Do adults get mono?,1
Does everyone treated for <em>H. pylori</em> get better?,1
Does everyone with elevated androstenedione have symptoms?,1
Does everyone with elevated DHEAS have symptoms?,1
Does lactose intolerance only apply to breast milk and cow's milk?,1
Does the amount of plasma free metanephrines detected correspond to the size of the tumor?,1
Does testing non-HDL-C have some advantages compared to LDL-C?,1
Does soy milk have lactose in it?,1
Does ovarian cancer run in families?,1
Does NIPS test for open neural tube defects such as spina bifida?,1
Does my sample for a DHEAS level have to be drawn at a certain time of day like other hormone tests?,1
Does my risk of being a carrier vary depending on my ethnic background?,1
Does kidney damage go away?,1
Does everyone with <em>H. pylori</em> get ulcers?,1
Does it matter which antibodies I have?,1
Does it matter whether I have a lactoferrin or a calprotectin test?,1
Does histamine do anything besides cause allergic reaction symptoms?,1
Does HER2-targeted therapy work for every tumor that is HER2-positive?,1
Does having chlamydia put me at greater risk for other STDs?,1
Does GBS cause serious infections in adults?,1
Does everyone with HIT antibodies develop HIT II?,1
Details on White Blood Cells,1
Details on CSF Tests,1
Can this test be done at my local lab?,1
Details on CBC Results,1
Can vitamin A testing be done in my healthcare practitioner's office?,1
Can vegetarians meet their phosphorus needs without resorting to meat or dairy?,1
Can urine samples be tested for glucose?,1
Can urine be tested instead of blood?,1
Can tryptase testing be done in my doctor's office?,1
Can TNF inhibitor therapy cure my autoimmune disorder?,1
Can’t I just take stomach medicines to address my excess gastrin and stomach acid?,1
Can thyroid antibody testing be done in my doctor's office?,1
Can thyroglobulin testing be performed in my healthcare practitioner's office?,1
Can thrombin time be used for monitoring dabigatran therapy?,1
Can this test be performed in my healthcare provider's office?,1
Can this test be performed in my healthcare practitioner’s office?,1
Can this test be performed in my healthcare practitioner's office?,1
Can this test be performed at my healthcare practitioner’s office?,1
Can this test be done in my doctor's office?,1
Can this test be done in a doctor's office?,1
Can this test be done at my local laboratory?,1
Can VWF testing be performed in my doctor's office?,1
Can warfarin sensitivity testing be done in my doctor's office?,1
Can water be tested for Legionella bacteria?,1
Choride Reference Range,1
CSF Physical Features (pressure and appearance),1
CSF Chemical Tests,1
Crystals,1
Could I calculate my own eGFR?,1
Could any medications I may be taking have an effect on my homocysteine level?,1
Color,1
CO2 Reference Range,1
Chloride Reference Range,1
Can whooping cough testing be done in my healthcare practitioner's office?,1
Chemical Exam,1
"Cell Counts, Differential and Microscopic Exam",1
Casts,1
Can Zika virus be passed from person to person?,1
Can Zika be prevented?,1
Can you outgrow or desensitize yourself to celiac disease?,1
Can you get shingles by being exposed to someone who has active symptoms of shingles?,1
Can I have my blood tested for beta amyloid and tau instead of my CSF?,1
Can I have liver disease if I feel fine?,1
Can I have kidney disease if I feel fine?,1
Are there other ways of testing for resistance?,1
Are those parasitic worms I'm seeing in my stool sample?,1
Are the two tests always done together?,1
Are these tests always performed together as a panel?,1
Are there ways to test for G6PD deficiency other than enzyme testing?,1
Are there ways to protect myself and my family if I have a job where I may be exposed to lead?,1
Are there ways to protect myself and my family from lead exposure?,1
Are there warning signs for abnormally low hemoglobin levels?,1
Are there vaccines for arboviruses?,1
Are there treatments available for decreased or dysfunctional fibrinogen?,1
Are there things that I can do to raise or lower my TSH level?,1
Are there things that I can do to raise or lower my free T4 level?,1
Are there symptoms I should recognize if my RBCs are dangerously low or high?,1
Are there symptoms associated with decreased immunoglobulins?,1
Are there over-the-counter (OTC) at-home FOBTs and are they just as good as stool tests performed by laboratories?,1
Are there other ways to test for intestinal parasites besides a stool exam?,1
Are there other ways to test for celiac disease?,1
Are there other ways to measure lactate than by sending a blood sample to the lab for testing?,1
Are thyroid antibodies part of routine thyroid testing?,1
Ascorbic Acid (Vitamin C),1
"Bacteria, yeast and parasites",1
"Besides HCV testing, what other tests might be done?",1
"Besides ovarian tumors, is inhibin testing used for other conditions?",1
"Besides NIPS, what are the other options for prenatal screening?",1
"Besides lung cancer, are there other types of cancers that have increased EGFR protein?",1
"Besides inhibin B, what other tests may be done?",1
"Besides infertility, is inhibin testing used for other conditions?",1
"Besides HPV, what are other risk factors for cervical cancer in women?",1
"Besides HER2, what other laboratory tests may my healthcare provider order on my breast cancer tissue?",1
"Besides glucose, what other tests might be done?",1
Basophils,1
"Besides blood and urine, can other body fluids be tested for glucose?",1
"Besides ASCA, what other testing may be done?",1
"Besides antibody tests, what other tests may be ordered?",1
"Besides antibody and molecular tests, are there other ways of testing for toxoplasmosis?",1
"Besides a neuroendocrine tumor, what else can cause elevated CgA levels?",1
"Besides ANCA, what other lab tests may be done?",1
"Besides ABO and Rh, are there other types of red blood cell antigens?",1
Are there other ways to estimate or determine the glomerular filtration rate (GFR) of my kidneys?,1
Are there other uses for vitamin D?,1
"Besides TB, what other types of mycobacteria can be identified with AFB testing?",1
Are there other uses for the SHBG test?,1
Are there any symptoms associated with a high level of triglycerides?,1
Are there any side effects of performing a CEA test?,1
Are there any other genetic tests that will diagnose AD?,1
Are the illicit synthetic forms of marijuana such as K2 and Spice the same thing as THC and can they be detected by marijuana testing?,1
Are some people at a higher risk for developing a pheochromocytoma or neuroblastoma?,1
Are some antibiotics more likely to cause antibiotic-related diarrhea?,1
Are people who have no symptoms ever tested for WNV?,1
Are myoglobin tests used to help diagnose heart attacks?,1
Are men tested for progesterone?,1
Are men screened for HPV infection?,1
Are calcitonin levels elevated in other conditions besides c-cell hyperplasia and medullary thyroid cancer?,1
Are arboviruses something I should worry about when I travel?,1
Are any other procedures done to help evaluate conditions involving the peritoneum?,1
Are any other methods used for immunophenotyping?,1
Are antibiotics useful when I have RSV?,1
Are all CGM devices the same?,1
A healthcare practitioner correctly places a tuberculin skin test in a recipient&#039;s forearm. Image credit: CDC,1
Are there conditions other than vasculitis and inflammatory bowel disease that can cause a positive ANCA?,1
Are there dietary recommendations for chloride?,1
Are there different ways to measure testosterone as well as free and bioavailable testosterone?,1
Are there other reasons to do a paracentesis?,1
Are there other types of tests available for EBV?,1
Are there other types of testing that evaluate EGFR in tumors?,1
Are there other types of strep bacteria that can cause a sore throat?,1
Are there other tumor markers used in ovarian cancer?,1
Are there other things that cause anemia besides iron deficiency?,1
Are there other reasons to do a thoracentesis?,1
Are there other reasons to do a pericardiocentesis?,1
Are there other reasons to do an arthrocentesis?,1
Are there home test kits available to test my urine?,1
Are there other reasons to do a lumbar puncture?,1
Are there other reasons for having increased urine albumin levels?,1
Are there other genetic changes that my healthcare practitioner may test for with leukemia?,1
Are there other genetic abnormalities associated with neoplastic hypereosinophilia or hypereosinophilic syndrome (HE/HES)?,1
Are there other causes of VWF deficiency besides inherited causes?,1
Are there other adipokines besides leptin?,1
Are there medications that can affect ADH levels?,1
"Besides sirolimus testing, what other tests might be done and why?",1
"Besides tests for Legionella pneumophila, what other testing may be done?",1
Can I have ketosis or ketoacidosis and not know it?,1
Can either blood or urine be used for the MMA test?,1
Can I do this test at home?,1
Can I do anything to increase my production of lactase?,1
Can I do anything to change my antithrombin activity or quantity?,1
Can I do an insulin test at home?,1
Can I do a C-peptide test at home like I can when I check my blood glucose?,1
Can I develop rheumatic fever or glomerulonephritis at the same time as my strep throat?,1
Can I choose either a blood (total or free) or urine copper test?,1
Can I change my B vitamin levels?,1
Can I buy a CGM device over-the-counter?,1
Can I be vaccinated against HCV?,1
Can I be tested for cholinesterase in my healthcare provider's office?,1
Can I be tested for CCP antibody in my doctor's office?,1
Can I be fired from my job for testing positive for marijuana in areas of the U.S. where it has been legalized?,1
Can I be colonized with MRSA and not know it?,1
Can histamine testing be done in my healthcare practitioner's office?,1
Can glucose testing be done when I have not fasted?,1
Can gestational trophoblastic disease (GTD) be prevented?,1
Can I drink water before or during the test?,1
Can I get diabetic ketoacidosis if I have type 2 diabetes?,1
Can I get HTLV-I/II from donating blood?,1
Can I have an intrinsic factor antibody test done at my doctor's office?,1
Can I have iron deficiency if I feel fine?,1
Can I have CAH if no CYP21A2 gene mutations were detected during genetic testing?,1
Can I have B12 and folate tests done in my doctor's office?,1
Can I have a tuberculosis (TB) infection and not be sick?,1
Can I have a sweat chloride test done at my healthcare provider's office?,1
Can I have a normal pregnancy after having GTD?,1
Can I have an Lp(a) test done in my healthcare practitioner's office?,1
Can I have an inhibin test to screen for ovarian tumors or ovarian cancer?,1
Can I get infectious mononucleosis more than once?,1
Can I have an AMA or AMA-M2 test done in my healthcare practitioner's office?,1
Can I have an abnormal PTH level without having symptoms?,1
Can I have abnormal test results and not have liver disease?,1
Can I have abnormal test results and not have kidney disease?,1
Can I get rid of intrinsic factor antibodies?,1
Can I get my vitamin D from yogurt and cheese?,1
Can I get MRSA more than once?,1
Can flow cytometry immunophenotyping be done at my local laboratory?,1
Can e-cigarettes and vaping cause a positive nicotine result?,1
"Besides urine and saliva, what other types of samples may be used for marijuana testing?",1
Can EBV cause other serious illnesses?,1
Can an anti-DNase B or an ASO be used to diagnose strep throat?,1
Can an AFP test be performed at home or in my healthcare practitioner's office?,1
Can amniotic fluid analysis be performed in my healthcare practitioner's office?,1
Can a healthy diet and nutrition help keep optimal hemoglobin levels?,1
Can a fructosamine test be used to screen for diabetes?,1
Can adequate erythropoietin production by my kidneys be restored?,1
Can a CRP test be performed in my doctor's office?,1
Can a chromosome analysis be performed in my healthcare provider's office?,1
Can a blood test be substituted for a stool calprotectin test?,1
Can a blood sample from a fingerstick be used to diagnose diabetes?,1
Can a blood sample be used instead of a tissue sample to perform these tests?,1
BUN Reference Range,1
Blood (Hemoglobin) and Myoglobin,1
Blood Creatinine Reference Range,1
Bilirubin,1
Bicarbonate (Total CO2) Reference Range,1
"Besides ZPP and lead levels, what other tests might my doctor order to monitor exposure to lead?",1
Can an apo A-I test be performed in my doctor's office or at home?,1
Can an apo B test be performed in my doctor's office or at home?,1
Can an HIV RNA test be used to screen for HIV?,1
Can bacterial pneumonia be prevented?,1
Can disorders detected through amniotic fluid analysis be prevented?,1
Can diabetes insipidus be treated?,1
Can dengue fever be prevented?,1
Can dengue fever be passed from person to person?,1
Can cystatin C be measured in my urine?,1
Can clopidogrel resistance testing be done in my healthcare provider's office?,1
Can B vitamins be measured at home or in my doctor's office?,1
Can babies get GBS infections more than 7 days after they are born?,1
Can anticentromere testing be done at my healthcare practitioner's office?,1
Can a white blood cell (WBC) differential be performed on samples other than blood?,1
Can a WBC count be performed on a sample other than blood?,1
"Can a urine culture be used to test for infections other than UTIs, such as sexually transmitted diseases (STDs)?",1
Can a urinalysis be done in my healthcare practitioner’s office?,1
Can a throat swab be used instead of a nasopharyngeal sample from my nose?,1
Can ASO be used to diagnose strep throat?,1
Can a pleural effusion go away on its own?,1
Does the amount of urine metanephrines detected correspond to the size of the tumor?,1
Does the Epstein-Barr virus (EBV) cause chronic fatigue syndrome?,1
Does the type and/or amount of heparin I receive make a difference in my risk for developing HIT?,1
"If I have an HIT antibody, will it eventually go away?",1
"If I have hepatitis, should I have a DCP test performed?",1
"If I have hepatitis A, how long will I be contagious?",1
"If I have heavy menstrual periods, do I have von Willebrand disease (VWD)?",1
"If I have had EBV infection, can I still get mono?",1
"If I have had dengue fever, can I get it again?",1
"If I have had a Zika infection, can I get it again?",1
"If I have had a kidney stone, what foods or drinks should I avoid ?",1
"If I have had a kidney stone, should I avoid calcium?",1
"If I have had a hepatitis A infection, can I get it again?",1
"If I have genetic testing done, will I still need to be monitored with PT/INR tests?",1
"If I have elevated cold agglutinins, is there anything I can do to make them go away or decrease them?",1
"If I have diabetes, should I have a fructosamine test?",1
"If I have diabetes, can I just test for glucose instead of ketones?",1
"If I have cardiolipin antibodies, will I definitely develop blood clots?",1
"If I have been diagnosed with lupus, will it ever go away?",1
"If I have a positive urine protein test, what other tests might be done in follow up?",1
"If I have a persistent cough and fever, why would my healthcare provider ask me where I have been traveling and what activities I have been doing?",1
"If I have liver cancer in my family, should I be tested for DCP?",1
"If I have measles or mumps and develop complications, will they go away once the infection resolves?",1
"If I have one antiphospholipid antibody, will I develop others?",1
"If I think I have an allergy, should I have a tryptase test done?",1
"If my doctor tells me to eat 100 grams of fat a day, can I vary it between 50 and 150 grams?",1
"If my blood smear shows abnormal results, what additional testing might be done?",1
"If my AFP is abnormal, do I need other tests?",1
"If Lp(a) levels don't really change over my lifetime, why would my healthcare practitioner prescribe treatment?",1
"If I've had a bicarbonate (total CO2) test, why does my healthcare practitioner want to test my blood gases?",1
"If it is suspected that I have an excessive clotting disorder, what tests other than LA might my doctor use to evaluate my condition?",1
"If it is possible that I have an HBV infection, will I need to have all these tests done?",1
"If I think I have an allergy, should I have a histamine test done?",1
"If I have or had CMV, can I spread it to others?",1
"If I need to go on the insulin pump, will I need a C-peptide test?",1
"If I have viral hepatitis, am I contagious?",1
"If I have undetectable HIV viral load, can I still spread the disease?",1
"If I have the same MTHFR gene mutations as a relative, why is my homocysteine level significantly different?",1
"If I have the PML-RARA gene, should my close family members be tested?",1
"If I have the Philadelphia chromosome and <em>BCR-ABL1</em> gene, should my close family members be tested?",1
"If I have the <em>FIP1L1-PDGFRA</em> fusion gene, should my family members be tested?",1
"If I have antiphospholipid antibodies, will I definitely develop blood clots?",1
"If I have an elevated tryptase, does this mean I have mastocytosis?",1
"If my haptoglobin level is low, when will it return to normal?",1
"If I have an elevated prolactin, why is my healthcare practitioner testing my thyroid?",1
"If I am diagnosed with strep, will an anti-DNase B or ASO always be performed?",1
"If I am diagnosed with gestational diabetes, will I need to monitor my glucose levels?",1
"If I am a smoker, does an elevated CEA level mean I have cancer?",1
"If HE or HES is suspected, what other lab tests in may be done in addition to <em>FIP1L1-PDGFRA</em>?",1
"If bicarbonate levels are too high or low, what treatments can help?",1
"If a mother has an incompatibility with one child, will she have them with all of her children?",1
"If a drop of blood on a slide contains millions of RBCs, thousands of WBCs, and hundreds of thousands of platelets, how can the laboratorian see individual cells?",1
I am taking the drug primidone. Why is my doctor monitoring phenobarbital?,1
I am pregnant. Will I have both first and second trimester screening performed?,1
I am pregnant; will I have both first and second trimester screening performed?,1
I am on anticoagulant therapy. Can I still have this test done?,1
I am on a low-dose aspirin regimen to prevent another heart attack. Do I need to be monitored with salicylate tests?,1
I am being treated with warfarin (Coumadin®). Should I avoid eating foods that are rich in vitamin K and will limiting these foods cause an increased risk of vitamin K deficiency?,1
"I am a woman, so why do I need a testosterone test?",1
"I am an alcoholic, but I have quit drinking. Will my GGT ever go back to normal?",1
I also had a test for thyroglobulin antibodies done. Why?,1
How would an ER physician evaluate an unconscious person or a child who is unable to tell what he or she has taken?,1
"If I am diagnosed with strep, will an ASO always be performed?",1
"If I am menopausal and on hormone replacement therapy (HRT), is there ever a need to monitor my progesterone level?",1
"If I am treated and the infection goes away, can I get another <em>H. pylori</em> infection?",1
"If I have AMA, will the antibodies ever go away?",1
"If I have an elevated MMA, why might my doctor hesitate to diagnose me with vitamin B12 deficiency?",1
"If I have an elevated B2M, does it mean that I have been exposed to cadmium or mercury?",1
"If I have a negative NIPS with my current pregnancy, will I need to repeat it with the next baby?",1
"If I have an abnormal WBC count, what other tests might my doctor order?",1
"If I have an abnormal result on my WBC differential, what other tests might my healthcare provider order?",1
"If I have an abnormal result on my CBC, what other tests might my healthcare practitioner order as follow up?",1
"If I have an abnormal monoclonal immunoglobulin in my blood, does it mean that I have multiple myeloma or some other type of cancer?",1
"If I have a low testosterone level, will taking supplemental testosterone help?",1
"If I can't absorb vitamin B12, how can I get enough?",1
"If I have a hobby such as stained glass working but no symptoms, do I need to have a ZPP test done?",1
"If I get treated, can I get trichomoniasis again?",1
"If I get treated, can I get syphilis again?",1
"If I get treated, can I get chlamydia again?",1
"If I get a liquid biopsy, will I still need a tissue biopsy?",1
"If I develop antibodies to one type of TNF inhibitor therapy, and I am switched to a different one, will I develop antibodies to the second TNF inhibitor?",1
"If I consume foods fortified with calcium, would it change my laboratory results?",1
"If my fibrinogen level is increased, what can I do to reduce it?",1
"If my healthcare provider thinks I have a fungal infection, why am I being tested for tuberculosis?",1
How treatable are abnormal red blood cell counts?,1
Is ACT ever done in the central laboratory?,1
Is it necessary to do both blood and urine tests?,1
Is it important to use the same lab each time I have a CA 19-9 test done?,1
Is it important to determine which mutation I have?,1
Is hs-CRP specific for predicting heart disease?,1
Is GBS considered a sexually transmitted disease (STD)?,1
Is fortifying milk and cereals with vitamin D a good practice?,1
Is electrophoresis used for anything else?,1
Is calcitonin ever used as a supplement?,1
Is CA-125 always increased in ovarian cancer?,1
Is a pleural effusion serious?,1
Is anyone more at risk for abnormal hematocrit values?,1
Is anyone at particular risk for low or high sodium levels?,1
Is anyone at high risk for abnormal albumin levels?,1
Is anyone at greater risk of abnormal hemoglobin levels?,1
Is an eGFR always calculated when a creatinine test is ordered?,1
Is ammonia testing used to detect or monitor ammonia poisoning?,1
Is a home sperm count test available?,1
Is it necessary to perform ASCA testing more than once?,1
Abnormal structures within the red blood cell,1
Is it necessary to repeat an ALK mutation test?,1
Is my blood type (ABO) related to my HLA genes and antigens?,1
Is the breath test used for other things?,1
Is the amount of amniotic fluid present important?,1
Is testing before treatment really necessary?,1
Is sirolimus given to patients who receive organs other than kidneys or have other conditions?,1
Is shingles contagious?,1
Is sample collection critical for lupus anticoagulant (LA) testing?,1
Is progesterone used as treatment?,1
"Is mononucleosis really a ""kissing disease""?",1
Is it necessary to use both HE4 and CA-125?,1
Is it safe to donate and receive blood?,1
Is it really necessary to save all of my urine over 5 hours?,1
Is it really necessary to lie down before testing?,1
Is it really necessary to follow the dietary restrictions?,1
Is it really necessary to continue treatment for a long period of time?,1
Is it possible to prevent a group B strep (GBS) infection in newborns?,1
Is it ok for pregnant women and young children to eat fish?,1
Is a haptoglobin test used for anything else?,1
Is acetaminophen dangerous if used appropriately?,1
"If my O&P is positive, what is the treatment?",1
Is a CD4 cell count used in conditions other than HIV infection?,1
I have been taking prednisone (glucocorticoid medication) for some time. Why would suddenly stopping it cause signs and symptoms of adrenal insufficiency?,1
I have been sick for more than a week.  Why would my healthcare practitioner order a sputum culture now?,1
I have a strong family history of breast cancer. Shouldn't I be screened for CA 15-3?,1
I had a screening test for cholesterol. It was less than 200 mg/dL (5.18 mmol/L). Do I need a lipid panel?,1
I had a boil on my arm and the healthcare practitioner did not do a culture of the material when he drained it. Why not?,1
"If this antibody targets CYP450 2D6, why is it called anti-liver kidney microsome-1 (anti-LKM-1)?",1
"If there are no symptoms, how will I know if I have an abnormal phosphorus level?",1
"If the level of my histone antibodies decreases, can I take my drug again?",1
"If the LD test is not specific, how can it be clinically useful?",1
"If the disease is very mild, why should I be tested?",1
I found out I am positive for HTLV. What precautions should I take to avoid infecting others?,1
"If one of my children has CF, should my other children be tested?",1
"If one child in my family has strep throat, is everyone going to get sick?",1
"If my thyroid is removed, will I need to replace my calcitonin?",1
"If my RBC Count is out of range, what other tests might be done?",1
"If my posture is important in the outcome of the results, how can I control it?",1
"If my platelet count is abnormal, what follow-up tests might my healthcare practitioner order?",1
I have had cholesterol tests but never an hs-CRP test. Why?,1
I heard that some athletes may be tested for hCG. Why is that?,1
I heard there is another test that certain people should have before taking carbamazepine. What is it?,1
"In addition to factor V Leiden and PT 2010, what other tests might be done to evaluate excessive clotting?",1
Is A1c reported the same way around the world?,1
"In addition to the blood sample for this test, I was instructed to collect a urine sample. Why?",1
"In addition to stone testing, what other lab tests might be done?",1
"In addition to SHBG, what other tests might be done?",1
"In addition to MPA levels, what other tests might be ordered?",1
"In addition to lead, mercury, arsenic, cadmium and chromium, what are some other metals that may be tested?",1
"In addition to growth hormone testing, what other laboratory tests might be done?",1
"In addition to ASO, what other testing might be done?",1
"I know eating foods high in iron or taking iron supplements will increase my iron level, but will it also increase my ferritin level?",1
"In addition to a reticulocyte count, what other tests may be done?",1
"In addition to a PTT, what other tests might be done?",1
"In addition to acetaminophen levels, what other lab tests might be done?",1
I’m having a hard time getting pregnant. What tests do I need?,1
I'm having a hard time getting pregnant. What tests do I need?,1
I’m blood type O. Do I have a chance of having a baby with ABO hemolytic disease of the newborn?,1
I'm a woman who has had the HPV vaccine. Do I need cervical cancer screening?,1
How widely available are liquid biopsies?,1
How soon after exposure to the virus do symptoms appear?,1
Does the vaccine have any risks?,1
How bad is the pain with kidney stones?,1
How can the healthcare practitioner determine the sex of a baby with sex organs that are not clearly male or female?,1
How can the doctor determine the sex of a baby with sex organs that are not clearly male or female?,1
How can syphilis be prevented?,1
"How can I test my soil, water, or the paint on my house for heavy metals?",1
How can I tell if my cytomegalovirus (CMV) has reactivated?,1
How can I tell if I am contagious and can spread the infection to others?,1
How can I protect myself from getting a MRSA infection?,1
How can I prevent kidney stones?,1
How can I prevent a respiratory infection?,1
How can I prevent a parasitic infection?,1
